field,value
noName,"17,281"
cod_sez,SP
n_s_sez,17
autore,"DESBUQUOIS, GUSTAVE, S.I."
titolo,VIVRE LE BON PLAISIR DE DIEU. ITINERAIRE SPIRITUEL - LETTRES SPIRITU ELLES
collabor,"RAYEZ A.,S.I."
luogo_pub,PARIS
editore,BEAUCHESNE
data_pub,1964
volume,2025-01-01 00:00:00
pagine,343
formato,18
note_sp,"BIBLIOTHEQUE DE SPIRITUALITE, 2"
data_crea,2003-03-06 00:00:00
n_scheda,42174
segnatura,SR
noName,141.5 N2
cod_sez,FL
n_s_sez,21
autore,"NIETZSCHE, FRIEDRICH"
titolo,L'ANTICRISTO MALEDIZIONE DEL CRISTIANESIMO
collabor,"P. SANTORO, TRAD."
edizione,III
luogo_pub,ROMA
editore,T.E.N.
data_pub,COPYRIGHT 1993
volume,2025-01-01 00:00:00
pagine,100
formato,19.5
collezion,TASCABILI ECONOMICI NEWTON N. 14
data_crea,2003-03-05 00:00:00
n_scheda,42173
segnatura,SR
noName,340.7 B
cod_sez,DC
n_s_sez,16
autore,"BHUTTO, BENAZIR"
collabor,GRO HARLEM BRUNDTLAND
edizione,I
luogo_pub,ROMA
editore,MANIFESTOLIBRI
data_pub,COPYRIGHT 1995
volume,2025-01-01 00:00:00
pagine,58
formato,17
collezion,I GRANDI DISCORSI N. 8
data_crea,2003-03-05 00:00:00
n_scheda,42172
segnatura,TD
noName,"3/11,IV"
cod_sez,TD
n_s_sez,3
autore,"TOMMASO, D'AQUINO, S."
edizione,II
luogo_pub,MEDIOLANI
editore,F. PAGNONI
data_pub,1881
volume,2025-04-04 00:00:00
pagine,1570
formato,25.5
note_sp,OP. DOPPIA DIVERSA ED.
data_crea,2003-03-04 00:00:00
n_scheda,42171
segnatura,TD
noName,"3/11,III"
cod_sez,TD
n_s_sez,3
autore,"TOMMASO, D'AQUINO, S."
edizione,II
luogo_pub,MEDIOLANI
editore,F. PAGNONI
data_pub,1881
volume,2025-04-03 00:00:00
pagine,1419
formato,25.5
note_sp,OP. DOPPIA DIVERSA ED.
data_crea,2003-03-04 00:00:00
n_scheda,42170
segnatura,TD
noName,"3/11,II"
cod_sez,TD
n_s_sez,3
autore,"TOMMASO, D'AQUINO, S."
edizione,II
luogo_pub,MEDIOLANI
editore,F. PAGNONI
data_pub,1881
volume,2025-04-02 00:00:00
pagine,983
formato,25.5
note_sp,OP. DOPPIA DIVERSA ED.
data_crea,2003-03-04 00:00:00
n_scheda,42169
segnatura,TD
noName,"3/11,I (I-IV)"
cod_sez,TD
n_s_sez,3
autore,"TOMMASO, D'AQUINO, S."
edizione,II
luogo_pub,MEDIOLANI
editore,F. PAGNONI
data_pub,1881
volume,2025-04-01 00:00:00
pagine,1575
formato,25.5
data_crea,2003-03-04 00:00:00
