field,value
collezion,MAGISTERO N.217
data_crea,2003-02-25 00:00:00
n_scheda,42003
segnatura,SR
noName,262.1/117
cod_sez,AE
n_s_sez,3
autore,C.E.I.
collabor,UFF. DI PASTORALE SCOLASTICA
edizione,I
luogo_pub,BOLOGNA
editore,EDB
data_pub,COPYRIGHT 1980
volume,2025-01-01 00:00:00
pagine,32
formato,18.5
collezion,COLL. DOCUMENTI N.13
data_crea,2003-02-25 00:00:00
n_scheda,42002
segnatura,SR
noName,262.1/116
cod_sez,AE
n_s_sez,3
autore,SINODO DEI VESCOVI
edizione,I
luogo_pub,BOLOGNA
editore,EDB
data_pub,COPYRIGHT 1985
volume,2025-01-01 00:00:00
pagine,44
formato,18.5
collezion,COLL. DOCUMENTI
data_crea,2003-02-25 00:00:00
n_scheda,42001
segnatura,SR
noName,262.1/115
cod_sez,AE
n_s_sez,3
autore,C.E.I.
edizione,I
luogo_pub,BOLOGNA
editore,EDB
data_pub,COPYRIGHT 1987
volume,2025-01-01 00:00:00
pagine,60
formato,18.5
collezion,COLL. DOCUMENTI
data_crea,2003-02-25 00:00:00
n_scheda,42000
segnatura,SR
noName,262.1/114
cod_sez,AE
n_s_sez,3
autore,"GIOVANNI PAOLO II, PAPA"
edizione,I
luogo_pub,BOLOGNA
editore,EDB
data_pub,COPYRIGHT 1993
volume,2025-01-01 00:00:00
pagine,63
formato,18.5
collezion,COLL. DOCUMENTI
data_crea,2003-02-25 00:00:00
n_scheda,41999
segnatura,SR
noName,262.1/113
cod_sez,AE
n_s_sez,3
autore,C.E.I.
edizione,I
luogo_pub,TORINO
editore,LDC
data_pub,COPYRIGHT 1993
volume,2025-01-01 00:00:00
pagine,40
formato,18.5
collezion,COLL. DOCUMENTI C.E.I. N. 69 (199 MAGISTERO)
data_crea,2003-02-25 00:00:00
n_scheda,41998
segnatura,SR
noName,262.1/112
cod_sez,AE
n_s_sez,3
autore,CONGREGAZIONE PER LA DOTTRINA DELLA FEDE
edizione,I
luogo_pub,TORINO
editore,LDC
data_pub,COPYRIGHT 1991
volume,2025-01-01 00:00:00
pagine,62
formato,18.5
collezion,COLL. DOCUMENTI C.E.I. N. 67
data_crea,2003-02-25 00:00:00
n_scheda,41997
segnatura,SR
noName,262.1/111
cod_sez,AE
n_s_sez,3
autore,CONGREGAZIONE PER LA DOTTRINA DELLA FEDE
edizione,I
luogo_pub,TORINO
editore,LDC
data_pub,COPYRIGHT 1990
volume,2025-01-01 00:00:00
pagine,62
formato,18.5
collezion,COLL. DOCUMENTI C.E.I. N. 49
data_crea,2003-02-25 00:00:00
n_scheda,41996
segnatura,SR
noName,262.1/110
cod_sez,AE
n_s_sez,3
autore,COMMISSIONE TEOLOGICA INTERNAZIONALE
edizione,I
luogo_pub,MILANO
editore,PAOLINE
data_pub,COPYRIGHT 1997
volume,2025-01-01 00:00:00
pagine,73
formato,18
collezion,MAGISTERO N.267
data_crea,2003-02-24 00:00:00
n_scheda,41995
segnatura,SR
noName,262.1/109
cod_sez,AE
n_s_sez,3
autore,C.E.I.
titolo,L'INIZIAZIONE CRISTIANA I. ORIENTAMENTI PER IL CATECUMENATO DEGLI ADULTI
collabor,CONSIGLIO EPISCOPALE PERMANENTE C.E.I.
edizione,I
luogo_pub,MILANO
editore,PAOLINE
data_pub,COPYRIGHT 1997
volume,2025-01-01 00:00:00
pagine,75
formato,18
collezion,MAGISTERO N.266
data_crea,2003-02-24 00:00:00
n_scheda,41994
segnatura,SR
noName,262.1/108
cod_sez,AE
n_s_sez,3
autore,C.E.I.
collabor,PRESIDENZA C.E.I.
edizione,I
luogo_pub,MILANO
editore,PAOLINE
data_pub,COPYRIGHT 1997
volume,2025-01-01 00:00:00
pagine,19
formato,18
collezion,MAGISTERO N.265
data_crea,2003-02-24 00:00:00
n_scheda,41993
segnatura,SR
noName,262.1/107
cod_sez,AE
n_s_sez,3
autore,PONTIFICIO CONSIGLIO PER LA FAMIGLIA
titolo,VADEMECUM PER I CONFESSORI MORALE CONIUGALE
edizione,I
luogo_pub,MILANO
editore,PAOLINE
data_pub,COPYRIGHT 1997
volume,2025-01-01 00:00:00
pagine,40
formato,18
collezion,MAGISTERO N.264
data_crea,2003-02-24 00:00:00
n_scheda,41992
segnatura,SR
noName,262.1/106
cod_sez,AE
n_s_sez,3
autore,"GIOVANNI PAOLO II, PAPA"
titolo,OPEROSAM DIEM ALLA DIOCESI DI MILANO
edizione,I
luogo_pub,MILANO
editore,PAOLINE
data_pub,COPYRIGHT 1996
volume,2025-01-01 00:00:00
pagine,32
formato,18
collezion,MAGISTERO N.262
data_crea,2003-02-24 00:00:00
n_scheda,41991
segnatura,SR
noName,262.1/105
cod_sez,AE
n_s_sez,3
titolo,"PASTORALE DEL TURISMO, DELLO SPORT, DEL PELLEGRINAGGIO L TEMPO LIBERO, TURISMO E SPORT"
collabor,UFF. NAZIONALE DELLA CONFERENZA EPISCOPALE ITAL. PER LA PASTORALE DE
edizione,I
luogo_pub,MILANO
editore,PAOLINE
data_pub,COPYRIGHT 1996
volume,2025-01-01 00:00:00
pagine,59
formato,18
collezion,MAGISTERO N.261
data_crea,2003-02-24 00:00:00
n_scheda,41990
segnatura,SR
noName,262.1/104
cod_sez,AE
n_s_sez,3
autore,PONTIFICIA OPERA PER LE VOCAZIONI ECCLESIASTICHE
collabor,CONGRESSO DEL 1997
edizione,I
luogo_pub,MILANO
editore,PAOLINE
data_pub,COPYRIGHT 1996
volume,2025-01-01 00:00:00
pagine,95
formato,18
collezion,MAGISTERO N.260
data_crea,2003-02-24 00:00:00
n_scheda,41989
segnatura,SR
noName,262.1/103
cod_sez,AE
n_s_sez,3
autore,PONTIFICIO CONSIGLIO COR UNUM
edizione,I
luogo_pub,MILANO
editore,PAOLINE
data_pub,COPYRIGHT 1996
volume,2025-01-01 00:00:00
pagine,94
formato,18
collezion,MAGISTERO N.259
data_crea,2003-02-24 00:00:00
n_scheda,41988
segnatura,SR
noName,262.1/102
cod_sez,AE
n_s_sez,3
autore,C.E.I.
titolo,CON IL DONO DELLA CARITA' DENTRO LA STORIA DOPO IL CONVEGNO DI PALERMO
edizione,I
luogo_pub,MILANO
editore,PAOLINE
data_pub,COPYRIGHT 1996
volume,2025-01-01 00:00:00
pagine,58
formato,18
collezion,MAGISTERO N.258
data_crea,2003-02-24 00:00:00
n_scheda,41987
segnatura,SR
noName,262.1/101
cod_sez,AE
n_s_sez,3
autore,"GIOVANNI PAOLO II, PAPA"
edizione,I
luogo_pub,MILANO
editore,PAOLINE
data_pub,COPYRIGHT 1996
volume,2025-01-01 00:00:00
pagine,155
formato,18
collezion,MAGISTERO N.255
data_crea,2003-02-24 00:00:00
n_scheda,41986
segnatura,SR
noName,262.1/100
cod_sez,AE
n_s_sez,3
titolo,LA PAROLA DEL SIGNORE SI DIFFONDA E SIA GLORIFICATA SI|DELLA COMMISSIONE EPISCOPALE PER LA DOTTRINA DELLA FEDE E LA CATECHE|II|MILANO|PAOLINE|COPYRIGHT 1996|1/1|40||18|MAGISTERO N.252|||24-02-2003|
n_scheda,41985
segnatura,SR
noName,262.1/99
cod_sez,AE
n_s_sez,3
autore,"GIOVANNI PAOLO II, PAPA"
edizione,II
luogo_pub,MILANO
editore,PAOLINE
data_pub,COPYRIGHT 1995-95
volume,2025-01-01 00:00:00
pagine,15
formato,18
collezion,MAGISTERO N.247
data_crea,2003-02-24 00:00:00
n_scheda,41984
segnatura,SR
noName,262.1/98
cod_sez,AE
n_s_sez,3
autore,"GIOVANNI PAOLO II, PAPA"
edizione,I
luogo_pub,MILANO
editore,PAOLINE
data_pub,COPYRIGHT 1995
volume,2025-01-01 00:00:00
pagine,168
formato,18
collezion,MAGISTERO N.236
data_crea,2003-02-24 00:00:00
n_scheda,41983
segnatura,SR
noName,262.1/97
cod_sez,AE
n_s_sez,3
autore,C.E.I.
titolo,IL VANGELO DELLA CARITA' PER UNA NUOVA SOCIETA' IN ITALIA PREPARAZIONE AL CONVEGNO DI PALERMO 1995
edizione,III
luogo_pub,MILANO
editore,PAOLINE
data_pub,COPYRIGHT 1995- 95
volume,2025-01-01 00:00:00
pagine,49
formato,18
collezion,MAGISTERO N.235
data_crea,2003-02-24 00:00:00
n_scheda,41982
segnatura,SR
noName,262.1/96
cod_sez,AE
n_s_sez,3
autore,"GIOVANNI PAOLO II, PAPA"
edizione,VI
luogo_pub,MILANO
editore,PAOLINE
data_pub,COPYRIGHT 1994- 96
volume,2025-01-01 00:00:00
pagine,57
formato,18
collezion,MAGISTERO N.232
data_crea,2003-02-24 00:00:00
n_scheda,41981
segnatura,SR
noName,262.1/95
cod_sez,AE
n_s_sez,3
autore,CONGREGAZIONE PER LA DOTTRINA DELLA FEDE
titolo,CIRCA LA RECEZIONE DELLA COMUNIONE EUCARISTICA DA PARTE DEI FEDELI D IVORZIATI RISPOSATI
edizione,I
luogo_pub,MILANO
editore,PAOLINE
data_pub,COPYRIGHT 1994
volume,2025-01-01 00:00:00
pagine,11
formato,18
collezion,MAGISTERO N.229
data_crea,2003-02-24 00:00:00
n_scheda,41980
segnatura,SR
noName,262.1/94
cod_sez,AE
n_s_sez,3
autore,SINODO DEI VESCOVI
titolo,LA VITA CONSACRATA E LA SUA MISSIONE NELLA CHIESA E NEL MONDO INSTRUMENTUM LABORIS
edizione,I
luogo_pub,MILANO
editore,PAOLINE
data_pub,COPYRIGHT 1994
volume,2025-01-01 00:00:00
pagine,171
formato,18
collezion,MAGISTERO N.226
data_crea,2003-02-24 00:00:00
n_scheda,41979
segnatura,SR
noName,262.1/93
cod_sez,AE
n_s_sez,3
autore,"GIOVANNI PAOLO II, PAPA"
edizione,I
luogo_pub,MILANO
editore,PAOLINE
data_pub,COPYRIGHT 1994
volume,2025-01-01 00:00:00
pagine,81+
formato,18
collezion,MAGISTERO N.216
data_crea,2003-02-24 00:00:00
n_scheda,41978
segnatura,SR
noName,262.1/92
cod_sez,AE
n_s_sez,3
autore,CONGREGAZIONE ISTITUTI DI VITA CONSACRATA
edizione,I
luogo_pub,MILANO
editore,PAOLINE
data_pub,COPYRIGHT 1994
volume,2025-01-01 00:00:00
pagine,78
formato,18
collezion,MAGISTERO N.215
data_crea,2003-02-24 00:00:00
n_scheda,41977
segnatura,SR
noName,262.1/91
cod_sez,AE
n_s_sez,3
autore,"GIOVANNI PAOLO II, PAPA"
edizione,I
luogo_pub,MILANO
editore,PAOLINE
data_pub,COPYRIGHT 1994
volume,2025-01-01 00:00:00
pagine,16
formato,18
collezion,MAGISTERO N.212
data_crea,2003-02-24 00:00:00
n_scheda,41976
segnatura,SR
noName,262.1/90
cod_sez,AE
n_s_sez,3
autore,"GIOVANNI PAOLO II, PAPA"
edizione,I
luogo_pub,MILANO
editore,PAOLINE
data_pub,COPYRIGHT 1993
volume,2025-01-01 00:00:00
pagine,139
formato,18
collezion,MAGISTERO N.206
note_sp,TESTO DELL'ENCICLICA
data_crea,2003-02-24 00:00:00
n_scheda,41975
segnatura,SR
noName,262.1/89
cod_sez,AE
n_s_sez,3
autore,"PIO XII, PAPA"
edizione,I-I
luogo_pub,MILANO
editore,PAOLINE
data_pub,COPYRIGHT 1943-93
volume,2025-01-01 00:00:00
pagine,72
formato,18
collezion,MAGISTERO N.203
data_crea,2003-02-24 00:00:00
n_scheda,41974
segnatura,SR
noName,262.1/88
cod_sez,AE
n_s_sez,3
autore,SINODO DEI VESCOVI
titolo,LA VITA CONSACRATA E LA SUA MISSIONE NELLA CHIESA E NEL MONDO LINEAMENTA
edizione,III
luogo_pub,ROMA
editore,PAOLINE
data_pub,COPYRIGHT 1992 - 93
volume,2025-01-01 00:00:00
pagine,85
formato,18
collezion,MAGISTERO N.197
data_crea,2003-02-24 00:00:00
n_scheda,41973
segnatura,SR
noName,262.1/87
cod_sez,AE
n_s_sez,3
autore,PONT. CONSIGLIO DELLA PASTORALE PER MIGRANTI ITINE
edizione,I
luogo_pub,ROMA
editore,PAOLINE
data_pub,COPYRIGHT 1992
volume,2025-01-01 00:00:00
pagine,30
formato,18
collezion,MAGISTERO N.195
data_crea,2003-02-24 00:00:00
n_scheda,41972
segnatura,SR
noName,262.1/86
cod_sez,AE
n_s_sez,3
autore,CONGREGAZIONE PER LA DOTTRINA DELLA FEDE
edizione,I
luogo_pub,ROMA
editore,PAOLINE
data_pub,COPYRIGHT 1992
volume,2025-01-01 00:00:00
pagine,21
formato,18
collezion,MAGISTERO N.194
data_crea,2003-02-24 00:00:00
n_scheda,41971
segnatura,SR
noName,262.1/85
cod_sez,AE
n_s_sez,3
autore,PONTIFICIO CONSIGLIO PER LA FAMIGLIA
titolo,DALLA DISPERAZIONE ALLA SPERANZA DOC. SULLA DROGA
edizione,I
luogo_pub,ROMA
editore,PAOLINE
data_pub,COPYRIGHT 1992
volume,2025-01-01 00:00:00
pagine,31
formato,18
collezion,MAGISTERO N.191
data_crea,2003-02-24 00:00:00
n_scheda,41970
segnatura,SR
noName,262.1/84
cod_sez,AE
n_s_sez,3
autore,"GIOVANNI PAOLO II, PAPA"
edizione,II
luogo_pub,ROMA
editore,PAOLINE
data_pub,COPYRIGHT 1992
volume,2025-01-01 00:00:00
pagine,176
formato,18
collezion,MAGISTERO N.190
data_crea,2003-02-24 00:00:00
n_scheda,41969
segnatura,SR
noName,262.1/83
cod_sez,AE
n_s_sez,3
autore,PONTIFICIA OPERA PER LE VOCAZIONI ECCLESIASTICHE
edizione,I
luogo_pub,ROMA
editore,PAOLINE
data_pub,COPYRIGHT 1992
volume,2025-01-01 00:00:00
pagine,80
formato,18
collezion,MAGISTERO N.188
data_crea,2003-02-24 00:00:00
n_scheda,41968
segnatura,SR
noName,262.1/82
cod_sez,AE
n_s_sez,3
autore,SINODO DEI VESCOVI
titolo,SIAMO TESTIMONI DI CRISTO CHE CI HA LIBERATO ASSEMBLEA SPECIALE PER L'EUROPA 1991
edizione,I
luogo_pub,ROMA
editore,PAOLINE
data_pub,COPYRIGHT 1991
volume,2025-01-01 00:00:00
pagine,40
formato,18
collezion,MAGISTERO N.187
data_crea,2003-02-24 00:00:00
n_scheda,41967
segnatura,SR
noName,262.1/81
cod_sez,AE
n_s_sez,3
autore,C.E.I.
edizione,I
luogo_pub,ROMA
editore,PAOLINE
data_pub,COPYRIGHT 1991
volume,2025-01-01 00:00:00
pagine,45
formato,18
collezion,MAGISTERO N.182
data_crea,2003-02-24 00:00:00
n_scheda,41966
segnatura,SR
noName,262.1/80
cod_sez,AE
n_s_sez,3
autore,C.E.I.
edizione,I
luogo_pub,ROMA
editore,PAOLINE
data_pub,COPYRIGHT 1991
volume,2025-01-01 00:00:00
pagine,43
formato,18
collezion,MAGISTERO N.180
data_crea,2003-02-24 00:00:00
n_scheda,41965
segnatura,SR
noName,262.1/79
cod_sez,AE
n_s_sez,3
autore,"GIOVANNI PAOLO II, PAPA"
edizione,I
luogo_pub,ROMA
editore,PAOLINE
data_pub,COPYRIGHT 1991
volume,2025-01-01 00:00:00
pagine,91
formato,18
collezion,MAGISTERO N.179
data_crea,2003-02-24 00:00:00
n_scheda,41964
segnatura,SR
noName,262.1/78
cod_sez,AE
n_s_sez,3
autore,UFFICIO CATECHISTICO NAZIONALE
edizione,I
luogo_pub,ROMA
editore,PAOLINE
data_pub,COPYRIGHT 1991
volume,2025-01-01 00:00:00
pagine,95
formato,18
collezion,MAGISTERO N.178
data_crea,2003-02-24 00:00:00
n_scheda,41963
segnatura,SR
noName,262.1/77
cod_sez,AE
n_s_sez,3
autore,"GIOVANNI PAOLO II, PAPA"
edizione,IV
luogo_pub,ROMA
editore,PAOLINE
data_pub,COPYRIGHT 1991-92
volume,2025-01-01 00:00:00
pagine,104
formato,18
collezion,MAGISTERO N.177
data_crea,2003-02-24 00:00:00
n_scheda,41962
segnatura,SR
noName,262.1/76
cod_sez,AE
n_s_sez,3
autore,C.E.I.
edizione,XI
luogo_pub,ROMA
editore,PAOLINE
data_pub,COPYRIGHT 1984-92
volume,2025-01-01 00:00:00
pagine,64
formato,18
collezion,MAGISTERO N.176
data_crea,2003-02-24 00:00:00
n_scheda,41961
segnatura,SR
noName,262.1/75
cod_sez,AE
n_s_sez,3
autore,C.E.I.
edizione,I
luogo_pub,ROMA
editore,PAOLINE
data_pub,COPYRIGHT 1990
volume,2025-01-01 00:00:00
pagine,43
formato,18
collezion,MAGISTERO N.175
data_crea,2003-02-24 00:00:00
n_scheda,41960
segnatura,SR
noName,262.1/74
cod_sez,AE
n_s_sez,3
autore,SINODO DEI VESCOVI
edizione,I
luogo_pub,ROMA
editore,PAOLINE
data_pub,COPYRIGHT 1990
volume,2025-01-01 00:00:00
pagine,71
formato,18
collezion,MAGISTERO N.171
data_crea,2003-02-24 00:00:00
n_scheda,41959
segnatura,SR
noName,262.1/73
cod_sez,AE
n_s_sez,3
autore,CONGREGAZIONE ISTITUTI DI VITA CONSACRATA
edizione,I
luogo_pub,ROMA
editore,PAOLINE
data_pub,COPYRIGHT 1990
volume,2025-01-01 00:00:00
pagine,96
formato,18
collezion,MAGISTERO N.165
data_crea,2003-02-24 00:00:00
n_scheda,41958
segnatura,SR
noName,262.1/72
cod_sez,AE
n_s_sez,3
autore,CONGREGAZIONE PER LA DOTTRINA DELLA FEDE
edizione,I
luogo_pub,ROMA
editore,PAOLINE
data_pub,COPYRIGHT 1990
volume,2025-01-01 00:00:00
pagine,31
formato,18
collezion,MAGISTERO N.159
data_crea,2003-02-24 00:00:00
n_scheda,41957
segnatura,SR
noName,262.1/71
cod_sez,AE
n_s_sez,3
autore,PONTIFICIO CONSIGLIO DELLE COMUNICAZIONI SOCIALI
edizione,I
luogo_pub,ROMA
editore,PAOLINE
data_pub,COPYRIGHT 1989
volume,2025-01-01 00:00:00
pagine,16
formato,18
collezion,MAGISTERO N.147
data_crea,2003-02-24 00:00:00
n_scheda,41956
segnatura,SR
noName,262.1/70
cod_sez,AE
n_s_sez,3
autore,"GIOVANNI PAOLO II, PAPA"
titolo,NEL XXV ANNIVERSARIO DELLA COSTITUZIONE CONCILIARE SACROSANCTUM CONC ILIUM
edizione,I
luogo_pub,ROMA
editore,PAOLINE
data_pub,COPYRIGHT 1989
volume,2025-01-01 00:00:00
pagine,32
formato,18
collezion,MAGISTERO N.146
data_crea,2003-02-24 00:00:00
n_scheda,41955
segnatura,SR
noName,262.1/69
cod_sez,AE
n_s_sez,3
autore,C.E.I.
edizione,I
luogo_pub,ROMA
editore,PAOLINE
data_pub,COPYRIGHT 1989
volume,2025-01-01 00:00:00
pagine,30
formato,18
collezion,MAGISTERO N.145
data_crea,2003-02-24 00:00:00
n_scheda,41954
segnatura,SR
noName,262.1/68
cod_sez,AE
n_s_sez,3
autore,C.E.I.
edizione,I
luogo_pub,ROMA
editore,PAOLINE
data_pub,COPYRIGHT 1989
volume,2025-01-01 00:00:00
pagine,32
formato,18
collezion,MAGISTERO N.144
data_crea,2003-02-24 00:00:00
n_scheda,41953
segnatura,SR
noName,262.1/67
cod_sez,AE
n_s_sez,3
autore,"GIOVANNI PAOLO II, PAPA"
edizione,I
luogo_pub,ROMA
editore,PAOLINE
data_pub,COPYRIGHT 1989
volume,2025-01-01 00:00:00
pagine,125
formato,18
collezion,MAGISTERO N.140
data_crea,2003-02-24 00:00:00
n_scheda,41952
segnatura,SR
noName,262.1/66
cod_sez,AE
n_s_sez,3
autore,C.E.I.
edizione,I
luogo_pub,ROMA
editore,PAOLINE
data_pub,COPYRIGHT 1989
volume,2025-01-01 00:00:00
pagine,60
formato,18
collezion,MAGISTERO N.139
data_crea,2003-02-24 00:00:00
n_scheda,41951
segnatura,SR
noName,262.1/65
cod_sez,AE
n_s_sez,3
autore,"GIOVANNI PAOLO II, PAPA"
edizione,V
luogo_pub,ROMA
editore,PAOLINE
data_pub,COPYRIGHT 1989-94
volume,2025-01-01 00:00:00
pagine,90
formato,18
collezion,MAGISTERO N.137
data_crea,2003-02-24 00:00:00
n_scheda,41950
segnatura,SR
noName,262.1/64
cod_sez,AE
n_s_sez,3
autore,"GIOVANNI PAOLO II, PAPA"
edizione,I
luogo_pub,ROMA
editore,PAOLINE
data_pub,COPYRIGHT 1988
volume,2025-01-01 00:00:00
pagine,27
formato,18
collezion,MAGISTERO N.134
note_sp,1988
data_crea,2003-02-24 00:00:00
n_scheda,41949
segnatura,SR
noName,262.1/63
cod_sez,AE
n_s_sez,3
autore,"GIOVANNI PAOLO II, PAPA"
edizione,III
luogo_pub,ROMA
editore,PAOLINE
data_pub,COPYRIGHT 1988-88
volume,2025-01-01 00:00:00
pagine,75
formato,18
collezion,MAGISTERO N.132
note_sp,NEL XX DELLA POPULORUM PROGRESSIO
data_crea,2003-02-24 00:00:00
n_scheda,41948
segnatura,SR
noName,262.1/62
cod_sez,AE
n_s_sez,3
autore,CONGREGAZIONE PER LA DOTTRINA DELLA FEDE
titolo,IL RISPETTO DELLA VITA UMANA NASCENTE E LA DIGNITA' DELLA PROCREAZIO NE
edizione,IV
luogo_pub,ROMA
editore,PAOLINE
data_pub,COPYRIGHT 1989-93
volume,2025-01-01 00:00:00
pagine,45
formato,18
collezion,MAGISTERO N.123
data_crea,2003-02-24 00:00:00
n_scheda,41947
segnatura,SR
noName,262.1/61
cod_sez,AE
n_s_sez,3
autore,"GIOVANNI PAOLO II, PAPA"
titolo,AUGUSTINUM HIPPONENSEM NEL XVI CENTENARIO DELLA CONVERSIONE
edizione,III
luogo_pub,ROMA
editore,PAOLINE
data_pub,COPYRIGHT 1986
volume,2025-01-01 00:00:00
pagine,48
formato,18
collezion,MAGISTERO N.119
data_crea,2003-02-24 00:00:00
n_scheda,41946
segnatura,SR
noName,262.1/60
cod_sez,AE
n_s_sez,3
autore,C.E.I.
edizione,III
luogo_pub,ROMA
editore,PAOLINE
data_pub,COPYRIGHT 1986
volume,2025-01-01 00:00:00
pagine,47
formato,18
collezion,MAGISTERO N.118
data_crea,2003-02-24 00:00:00
n_scheda,41945
segnatura,SR
noName,262.1/59
cod_sez,AE
n_s_sez,3
autore,"GIOVANNI PAOLO II, PAPA"
edizione,I
luogo_pub,ROMA
editore,PAOLINE
data_pub,COPYRIGHT 1986
volume,2025-01-01 00:00:00
pagine,96
formato,18
collezion,MAGISTERO N.117
data_crea,2003-02-24 00:00:00
n_scheda,41944
segnatura,SR
noName,262.1/58
cod_sez,AE
n_s_sez,3
autore,CONGREGAZIONE PER LA DOTTRINA DELLA FEDE
edizione,I
luogo_pub,ROMA
editore,PAOLINE
data_pub,COPYRIGHT 1986
volume,2025-01-01 00:00:00
pagine,64
formato,18
collezion,MAGISTERO N.116
data_crea,2003-02-24 00:00:00
n_scheda,41943
segnatura,SR
noName,262.1/57
cod_sez,AE
n_s_sez,3
autore,C.E.I.
edizione,I
luogo_pub,ROMA
editore,PAOLINE
data_pub,COPYRIGHT 1985
volume,2025-01-01 00:00:00
pagine,40
formato,18
collezion,MAGISTERO N.114
data_crea,2003-02-24 00:00:00
n_scheda,41942
segnatura,SR
noName,262.1/56
cod_sez,AE
n_s_sez,3
autore,C.E.I.
titolo,"FARE PACE CON LA VITA MESSAGGIO DEI VESCOVI AL PAESE PER LA VII GIORNATA ""PER LA VITA"" 1985"
edizione,I
luogo_pub,ROMA
editore,PAOLINE
data_pub,COPYRIGHT 1985
volume,2025-01-01 00:00:00
pagine,7
formato,18
collezion,MAGISTERO N.110
data_crea,2003-02-24 00:00:00
n_scheda,41941
segnatura,SR
noName,262.1/55
cod_sez,AE
n_s_sez,3
autore,"GIOVANNI PAOLO II, PAPA"
edizione,I
luogo_pub,ROMA
editore,PAOLINE
data_pub,COPYRIGHT 1984
volume,2025-01-01 00:00:00
pagine,95
formato,18
collezion,MAGISTERO N.108
data_crea,2003-02-24 00:00:00
n_scheda,41940
segnatura,SR
noName,262.1/54
cod_sez,AE
n_s_sez,3
autore,CONGREGAZIONE PER LA DOTTRINA DELLA FEDE
edizione,I
luogo_pub,ROMA
editore,PAOLINE
data_pub,COPYRIGHT 1984
volume,2025-01-01 00:00:00
pagine,32
formato,18
collezion,MAGISTERO N.106
data_crea,2003-02-24 00:00:00
n_scheda,41939
segnatura,SR
noName,262.1/53
cod_sez,AE
n_s_sez,3
autore,C.E.I.
edizione,II
luogo_pub,ROMA
editore,PAOLINE
data_pub,COPYRIGHT 1984
volume,2025-01-01 00:00:00
pagine,31
formato,18
collezion,MAGISTERO N.105
data_crea,2003-02-24 00:00:00
n_scheda,41938
segnatura,SR
noName,262.1/52
cod_sez,AE
n_s_sez,3
autore,C.E.I.
edizione,II
luogo_pub,ROMA
editore,PAOLINE
data_pub,COPYRIGHT 1985
volume,2025-01-01 00:00:00
pagine,30
formato,18
collezion,MAGISTERO N.104
data_crea,2003-02-24 00:00:00
n_scheda,41937
segnatura,SR
noName,262.1/51
cod_sez,AE
n_s_sez,3
autore,"GIOVANNI PAOLO II, PAPA"
edizione,I
luogo_pub,ROMA
editore,PAOLINE
data_pub,COPYRIGHT 1984
volume,2025-01-01 00:00:00
pagine,8
formato,18
collezion,MAGISTERO N.103
data_crea,2003-02-24 00:00:00
n_scheda,41936
segnatura,SR
noName,262.1/50
cod_sez,AE
n_s_sez,3
autore,"GIOVANNI PAOLO II, PAPA"
edizione,I
luogo_pub,ROMA
editore,PAOLINE
data_pub,COPYRIGHT 1984
volume,2025-01-01 00:00:00
pagine,32
formato,18
collezion,MAGISTERO N.102
data_crea,2003-02-24 00:00:00
n_scheda,41935
segnatura,SR
noName,262.1/49
cod_sez,AE
n_s_sez,3
autore,"GIOVANNI PAOLO II, PAPA"
edizione,I
luogo_pub,ROMA
editore,PAOLINE
data_pub,COPYRIGHT 1984
volume,2025-01-01 00:00:00
pagine,61
formato,18
collezion,MAGISTERO N.101
data_crea,2003-02-24 00:00:00
n_scheda,41934
segnatura,SR
noName,262.1/48
cod_sez,AE
n_s_sez,3
autore,C.E.I.
edizione,I
luogo_pub,ROMA
editore,PAOLINE
data_pub,COPYRIGHT 1983
volume,2025-01-01 00:00:00
pagine,30
formato,18
collezion,MAGISTERO N.98
data_crea,2003-02-24 00:00:00
n_scheda,41933
segnatura,SR
noName,262.1/47
cod_sez,AE
n_s_sez,3
autore,C.E.I.
edizione,I
luogo_pub,ROMA
editore,PAOLINE
data_pub,COPYRIGHT 1983
volume,2025-01-01 00:00:00
pagine,80
formato,18
collezion,MAGISTERO N.96
data_crea,2003-02-24 00:00:00
n_scheda,41932
segnatura,SR
noName,262.1/46
cod_sez,AE
n_s_sez,3
autore,"GIOVANNI PAOLO II, PAPA"
titolo,APRITE LE PORTE AL REDENTORE BOLLA D'INDIZIONE DELL'ANNO GIUBILARE DELLA REDENZIONE 1983-84
edizione,I
luogo_pub,ROMA
editore,PAOLINE
data_pub,COPYRIGHT 1983
volume,2025-01-01 00:00:00
pagine,16
formato,18
collezion,MAGISTERO N.92
data_crea,2003-02-24 00:00:00
n_scheda,41931
segnatura,SR
noName,262.1/45
cod_sez,AE
n_s_sez,3
titolo,CURA PASTORALE DELLE VOCAZIONI NELLE CHIESE PARTICOLARI ONI ERCCLESIASTICHE
collabor,CONGRESSO INTERNAZ. DEI VESCOVI E DI ALTRI RESPONSABILI DELLE VOCAZI
edizione,I
luogo_pub,ROMA
editore,PAOLINE
data_pub,COPYRIGHT 1982
volume,2025-01-01 00:00:00
pagine,72
formato,18
collezion,MAGISTERO N.90
data_crea,2003-02-24 00:00:00
n_scheda,41930
segnatura,SR
noName,262.1/44
cod_sez,AE
n_s_sez,3
autore,CONGREGAZIONE EDUCAZIONE CATTOLICA SEMINARI
edizione,I
luogo_pub,ROMA
editore,PAOLINE
data_pub,COPYRIGHT 1982
volume,2025-01-01 00:00:00
pagine,48
formato,18
collezion,MAGISTERO N.89
data_crea,2003-02-24 00:00:00
n_scheda,41929
segnatura,SR
noName,262.1/43
