field,value,campo,valore,n_scheda
collezion,MAGISTERO N.140,collezion,MAGISTERO N.140,41953
data_crea,2003-02-24 00:00:00,data_crea,2003-02-24 00:00:00,41953
segnatura,SR,segnatura,SR,41952
noName,262.1/66,noName,262.1/66,41952
cod_sez,AE,cod_sez,AE,41952
n_s_sez,3,n_s_sez,3,41952
autore,C.E.I.,autore,C.E.I.,41952
edizione,I,edizione,I,41952
luogo_pub,ROMA,luogo_pub,ROMA,41952
editore,PAOLINE,editore,PAOLINE,41952
data_pub,COPYRIGHT 1989,data_pub,COPYRIGHT 1989,41952
volume,2025-01-01 00:00:00,volume,2025-01-01 00:00:00,41952
pagine,60,pagine,60,41952
formato,18,formato,18,41952
collezion,MAGISTERO N.139,collezion,MAGISTERO N.139,41952
data_crea,2003-02-24 00:00:00,data_crea,2003-02-24 00:00:00,41952
segnatura,SR,segnatura,SR,41951
noName,262.1/65,noName,262.1/65,41951
cod_sez,AE,cod_sez,AE,41951
n_s_sez,3,n_s_sez,3,41951
autore,"GIOVANNI PAOLO II, PAPA",autore,"GIOVANNI PAOLO II, PAPA",41951
edizione,V,edizione,V,41951
luogo_pub,ROMA,luogo_pub,ROMA,41951
editore,PAOLINE,editore,PAOLINE,41951
data_pub,COPYRIGHT 1989-94,data_pub,COPYRIGHT 1989-94,41951
volume,2025-01-01 00:00:00,volume,2025-01-01 00:00:00,41951
pagine,90,pagine,90,41951
formato,18,formato,18,41951
collezion,MAGISTERO N.137,collezion,MAGISTERO N.137,41951
data_crea,2003-02-24 00:00:00,data_crea,2003-02-24 00:00:00,41951
segnatura,SR,segnatura,SR,41950
noName,262.1/64,noName,262.1/64,41950
cod_sez,AE,cod_sez,AE,41950
n_s_sez,3,n_s_sez,3,41950
autore,"GIOVANNI PAOLO II, PAPA",autore,"GIOVANNI PAOLO II, PAPA",41950
edizione,I,edizione,I,41950
luogo_pub,ROMA,luogo_pub,ROMA,41950
editore,PAOLINE,editore,PAOLINE,41950
data_pub,COPYRIGHT 1988,data_pub,COPYRIGHT 1988,41950
volume,2025-01-01 00:00:00,volume,2025-01-01 00:00:00,41950
pagine,27,pagine,27,41950
formato,18,formato,18,41950
collezion,MAGISTERO N.134,collezion,MAGISTERO N.134,41950
note_sp,1988,note_sp,1988,41950
data_crea,2003-02-24 00:00:00,data_crea,2003-02-24 00:00:00,41950
segnatura,SR,segnatura,SR,41949
noName,262.1/63,noName,262.1/63,41949
cod_sez,AE,cod_sez,AE,41949
n_s_sez,3,n_s_sez,3,41949
autore,"GIOVANNI PAOLO II, PAPA",autore,"GIOVANNI PAOLO II, PAPA",41949
edizione,III,edizione,III,41949
luogo_pub,ROMA,luogo_pub,ROMA,41949
editore,PAOLINE,editore,PAOLINE,41949
data_pub,COPYRIGHT 1988-88,data_pub,COPYRIGHT 1988-88,41949
volume,2025-01-01 00:00:00,volume,2025-01-01 00:00:00,41949
pagine,75,pagine,75,41949
formato,18,formato,18,41949
collezion,MAGISTERO N.132,collezion,MAGISTERO N.132,41949
note_sp,NEL XX DELLA POPULORUM PROGRESSIO,note_sp,NEL XX DELLA POPULORUM PROGRESSIO,41949
data_crea,2003-02-24 00:00:00,data_crea,2003-02-24 00:00:00,41949
segnatura,SR,segnatura,SR,41948
noName,262.1/62,noName,262.1/62,41948
cod_sez,AE,cod_sez,AE,41948
n_s_sez,3,n_s_sez,3,41948
autore,CONGREGAZIONE PER LA DOTTRINA DELLA FEDE,autore,CONGREGAZIONE PER LA DOTTRINA DELLA FEDE,41948
titolo,IL RISPETTO DELLA VITA UMANA NASCENTE E LA DIGNITA' DELLA PROCREAZIO NE,titolo,IL RISPETTO DELLA VITA UMANA NASCENTE E LA DIGNITA' DELLA PROCREAZIO NE,41948
edizione,IV,edizione,IV,41948
luogo_pub,ROMA,luogo_pub,ROMA,41948
editore,PAOLINE,editore,PAOLINE,41948
data_pub,COPYRIGHT 1989-93,data_pub,COPYRIGHT 1989-93,41948
volume,2025-01-01 00:00:00,volume,2025-01-01 00:00:00,41948
pagine,45,pagine,45,41948
formato,18,formato,18,41948
collezion,MAGISTERO N.123,collezion,MAGISTERO N.123,41948
data_crea,2003-02-24 00:00:00,data_crea,2003-02-24 00:00:00,41948
segnatura,SR,segnatura,SR,41947
noName,262.1/61,noName,262.1/61,41947
cod_sez,AE,cod_sez,AE,41947
n_s_sez,3,n_s_sez,3,41947
autore,"GIOVANNI PAOLO II, PAPA",autore,"GIOVANNI PAOLO II, PAPA",41947
titolo,AUGUSTINUM HIPPONENSEM NEL XVI CENTENARIO DELLA CONVERSIONE,titolo,AUGUSTINUM HIPPONENSEM NEL XVI CENTENARIO DELLA CONVERSIONE,41947
edizione,III,edizione,III,41947
luogo_pub,ROMA,luogo_pub,ROMA,41947
editore,PAOLINE,editore,PAOLINE,41947
data_pub,COPYRIGHT 1986,data_pub,COPYRIGHT 1986,41947
volume,2025-01-01 00:00:00,volume,2025-01-01 00:00:00,41947
pagine,48,pagine,48,41947
formato,18,formato,18,41947
collezion,MAGISTERO N.119,collezion,MAGISTERO N.119,41947
data_crea,2003-02-24 00:00:00,data_crea,2003-02-24 00:00:00,41947
segnatura,SR,segnatura,SR,41946
noName,262.1/60,noName,262.1/60,41946
cod_sez,AE,cod_sez,AE,41946
n_s_sez,3,n_s_sez,3,41946
autore,C.E.I.,autore,C.E.I.,41946
edizione,III,edizione,III,41946
luogo_pub,ROMA,luogo_pub,ROMA,41946
editore,PAOLINE,editore,PAOLINE,41946
data_pub,COPYRIGHT 1986,data_pub,COPYRIGHT 1986,41946
volume,2025-01-01 00:00:00,volume,2025-01-01 00:00:00,41946
pagine,47,pagine,47,41946
formato,18,formato,18,41946
collezion,MAGISTERO N.118,collezion,MAGISTERO N.118,41946
data_crea,2003-02-24 00:00:00,data_crea,2003-02-24 00:00:00,41946
segnatura,SR,segnatura,SR,41945
noName,262.1/59,noName,262.1/59,41945
cod_sez,AE,cod_sez,AE,41945
n_s_sez,3,n_s_sez,3,41945
autore,"GIOVANNI PAOLO II, PAPA",autore,"GIOVANNI PAOLO II, PAPA",41945
edizione,I,edizione,I,41945
luogo_pub,ROMA,luogo_pub,ROMA,41945
editore,PAOLINE,editore,PAOLINE,41945
data_pub,COPYRIGHT 1986,data_pub,COPYRIGHT 1986,41945
volume,2025-01-01 00:00:00,volume,2025-01-01 00:00:00,41945
pagine,96,pagine,96,41945
formato,18,formato,18,41945
collezion,MAGISTERO N.117,collezion,MAGISTERO N.117,41945
data_crea,2003-02-24 00:00:00,data_crea,2003-02-24 00:00:00,41945
segnatura,SR,segnatura,SR,41944
noName,262.1/58,noName,262.1/58,41944
cod_sez,AE,cod_sez,AE,41944
n_s_sez,3,n_s_sez,3,41944
autore,CONGREGAZIONE PER LA DOTTRINA DELLA FEDE,autore,CONGREGAZIONE PER LA DOTTRINA DELLA FEDE,41944
edizione,I,edizione,I,41944
luogo_pub,ROMA,luogo_pub,ROMA,41944
editore,PAOLINE,editore,PAOLINE,41944
data_pub,COPYRIGHT 1986,data_pub,COPYRIGHT 1986,41944
volume,2025-01-01 00:00:00,volume,2025-01-01 00:00:00,41944
pagine,64,pagine,64,41944
formato,18,formato,18,41944
collezion,MAGISTERO N.116,collezion,MAGISTERO N.116,41944
data_crea,2003-02-24 00:00:00,data_crea,2003-02-24 00:00:00,41944
segnatura,SR,segnatura,SR,41943
noName,262.1/57,noName,262.1/57,41943
cod_sez,AE,cod_sez,AE,41943
n_s_sez,3,n_s_sez,3,41943
autore,C.E.I.,autore,C.E.I.,41943
edizione,I,edizione,I,41943
luogo_pub,ROMA,luogo_pub,ROMA,41943
editore,PAOLINE,editore,PAOLINE,41943
data_pub,COPYRIGHT 1985,data_pub,COPYRIGHT 1985,41943
volume,2025-01-01 00:00:00,volume,2025-01-01 00:00:00,41943
pagine,40,pagine,40,41943
formato,18,formato,18,41943
collezion,MAGISTERO N.114,collezion,MAGISTERO N.114,41943
data_crea,2003-02-24 00:00:00,data_crea,2003-02-24 00:00:00,41943
segnatura,SR,segnatura,SR,41942
noName,262.1/56,noName,262.1/56,41942
cod_sez,AE,cod_sez,AE,41942
n_s_sez,3,n_s_sez,3,41942
autore,C.E.I.,autore,C.E.I.,41942
titolo,"FARE PACE CON LA VITA MESSAGGIO DEI VESCOVI AL PAESE PER LA VII GIORNATA ""PER LA VITA"" 1985",titolo,"FARE PACE CON LA VITA MESSAGGIO DEI VESCOVI AL PAESE PER LA VII GIORNATA ""PER LA VITA"" 1985",41942
edizione,I,edizione,I,41942
luogo_pub,ROMA,luogo_pub,ROMA,41942
editore,PAOLINE,editore,PAOLINE,41942
data_pub,COPYRIGHT 1985,data_pub,COPYRIGHT 1985,41942
volume,2025-01-01 00:00:00,volume,2025-01-01 00:00:00,41942
pagine,7,pagine,7,41942
formato,18,formato,18,41942
collezion,MAGISTERO N.110,collezion,MAGISTERO N.110,41942
data_crea,2003-02-24 00:00:00,data_crea,2003-02-24 00:00:00,41942
segnatura,SR,segnatura,SR,41941
noName,262.1/55,noName,262.1/55,41941
cod_sez,AE,cod_sez,AE,41941
n_s_sez,3,n_s_sez,3,41941
autore,"GIOVANNI PAOLO II, PAPA",autore,"GIOVANNI PAOLO II, PAPA",41941
edizione,I,edizione,I,41941
luogo_pub,ROMA,luogo_pub,ROMA,41941
editore,PAOLINE,editore,PAOLINE,41941
data_pub,COPYRIGHT 1984,data_pub,COPYRIGHT 1984,41941
volume,2025-01-01 00:00:00,volume,2025-01-01 00:00:00,41941
pagine,95,pagine,95,41941
formato,18,formato,18,41941
collezion,MAGISTERO N.108,collezion,MAGISTERO N.108,41941
data_crea,2003-02-24 00:00:00,data_crea,2003-02-24 00:00:00,41941
segnatura,SR,segnatura,SR,41940
noName,262.1/54,noName,262.1/54,41940
cod_sez,AE,cod_sez,AE,41940
n_s_sez,3,n_s_sez,3,41940
autore,CONGREGAZIONE PER LA DOTTRINA DELLA FEDE,autore,CONGREGAZIONE PER LA DOTTRINA DELLA FEDE,41940
edizione,I,edizione,I,41940
luogo_pub,ROMA,luogo_pub,ROMA,41940
editore,PAOLINE,editore,PAOLINE,41940
data_pub,COPYRIGHT 1984,data_pub,COPYRIGHT 1984,41940
volume,2025-01-01 00:00:00,volume,2025-01-01 00:00:00,41940
pagine,32,pagine,32,41940
formato,18,formato,18,41940
collezion,MAGISTERO N.106,collezion,MAGISTERO N.106,41940
data_crea,2003-02-24 00:00:00,data_crea,2003-02-24 00:00:00,41940
segnatura,SR,segnatura,SR,41939
noName,262.1/53,noName,262.1/53,41939
cod_sez,AE,cod_sez,AE,41939
n_s_sez,3,n_s_sez,3,41939
autore,C.E.I.,autore,C.E.I.,41939
edizione,II,edizione,II,41939
luogo_pub,ROMA,luogo_pub,ROMA,41939
editore,PAOLINE,editore,PAOLINE,41939
data_pub,COPYRIGHT 1984,data_pub,COPYRIGHT 1984,41939
volume,2025-01-01 00:00:00,volume,2025-01-01 00:00:00,41939
pagine,31,pagine,31,41939
formato,18,formato,18,41939
collezion,MAGISTERO N.105,collezion,MAGISTERO N.105,41939
data_crea,2003-02-24 00:00:00,data_crea,2003-02-24 00:00:00,41939
segnatura,SR,segnatura,SR,41938
noName,262.1/52,noName,262.1/52,41938
cod_sez,AE,cod_sez,AE,41938
n_s_sez,3,n_s_sez,3,41938
autore,C.E.I.,autore,C.E.I.,41938
edizione,II,edizione,II,41938
luogo_pub,ROMA,luogo_pub,ROMA,41938
editore,PAOLINE,editore,PAOLINE,41938
data_pub,COPYRIGHT 1985,data_pub,COPYRIGHT 1985,41938
volume,2025-01-01 00:00:00,volume,2025-01-01 00:00:00,41938
pagine,30,pagine,30,41938
formato,18,formato,18,41938
collezion,MAGISTERO N.104,collezion,MAGISTERO N.104,41938
data_crea,2003-02-24 00:00:00,data_crea,2003-02-24 00:00:00,41938
segnatura,SR,segnatura,SR,41937
noName,262.1/51,noName,262.1/51,41937
cod_sez,AE,cod_sez,AE,41937
n_s_sez,3,n_s_sez,3,41937
autore,"GIOVANNI PAOLO II, PAPA",autore,"GIOVANNI PAOLO II, PAPA",41937
edizione,I,edizione,I,41937
luogo_pub,ROMA,luogo_pub,ROMA,41937
editore,PAOLINE,editore,PAOLINE,41937
data_pub,COPYRIGHT 1984,data_pub,COPYRIGHT 1984,41937
volume,2025-01-01 00:00:00,volume,2025-01-01 00:00:00,41937
pagine,8,pagine,8,41937
formato,18,formato,18,41937
collezion,MAGISTERO N.103,collezion,MAGISTERO N.103,41937
data_crea,2003-02-24 00:00:00,data_crea,2003-02-24 00:00:00,41937
segnatura,SR,segnatura,SR,41936
noName,262.1/50,noName,262.1/50,41936
cod_sez,AE,cod_sez,AE,41936
n_s_sez,3,n_s_sez,3,41936
autore,"GIOVANNI PAOLO II, PAPA",autore,"GIOVANNI PAOLO II, PAPA",41936
edizione,I,edizione,I,41936
luogo_pub,ROMA,luogo_pub,ROMA,41936
editore,PAOLINE,editore,PAOLINE,41936
data_pub,COPYRIGHT 1984,data_pub,COPYRIGHT 1984,41936
volume,2025-01-01 00:00:00,volume,2025-01-01 00:00:00,41936
pagine,32,pagine,32,41936
formato,18,formato,18,41936
collezion,MAGISTERO N.102,collezion,MAGISTERO N.102,41936
data_crea,2003-02-24 00:00:00,data_crea,2003-02-24 00:00:00,41936
segnatura,SR,segnatura,SR,41935
noName,262.1/49,noName,262.1/49,41935
cod_sez,AE,cod_sez,AE,41935
n_s_sez,3,n_s_sez,3,41935
autore,"GIOVANNI PAOLO II, PAPA",autore,"GIOVANNI PAOLO II, PAPA",41935
edizione,I,edizione,I,41935
luogo_pub,ROMA,luogo_pub,ROMA,41935
editore,PAOLINE,editore,PAOLINE,41935
data_pub,COPYRIGHT 1984,data_pub,COPYRIGHT 1984,41935
volume,2025-01-01 00:00:00,volume,2025-01-01 00:00:00,41935
pagine,61,pagine,61,41935
formato,18,formato,18,41935
collezion,MAGISTERO N.101,collezion,MAGISTERO N.101,41935
data_crea,2003-02-24 00:00:00,data_crea,2003-02-24 00:00:00,41935
segnatura,SR,segnatura,SR,41934
noName,262.1/48,noName,262.1/48,41934
cod_sez,AE,cod_sez,AE,41934
n_s_sez,3,n_s_sez,3,41934
autore,C.E.I.,autore,C.E.I.,41934
edizione,I,edizione,I,41934
luogo_pub,ROMA,luogo_pub,ROMA,41934
editore,PAOLINE,editore,PAOLINE,41934
data_pub,COPYRIGHT 1983,data_pub,COPYRIGHT 1983,41934
volume,2025-01-01 00:00:00,volume,2025-01-01 00:00:00,41934
pagine,30,pagine,30,41934
formato,18,formato,18,41934
collezion,MAGISTERO N.98,collezion,MAGISTERO N.98,41934
data_crea,2003-02-24 00:00:00,data_crea,2003-02-24 00:00:00,41934
segnatura,SR,segnatura,SR,41933
noName,262.1/47,noName,262.1/47,41933
cod_sez,AE,cod_sez,AE,41933
n_s_sez,3,n_s_sez,3,41933
autore,C.E.I.,autore,C.E.I.,41933
edizione,I,edizione,I,41933
luogo_pub,ROMA,luogo_pub,ROMA,41933
editore,PAOLINE,editore,PAOLINE,41933
data_pub,COPYRIGHT 1983,data_pub,COPYRIGHT 1983,41933
volume,2025-01-01 00:00:00,volume,2025-01-01 00:00:00,41933
pagine,80,pagine,80,41933
formato,18,formato,18,41933
collezion,MAGISTERO N.96,collezion,MAGISTERO N.96,41933
data_crea,2003-02-24 00:00:00,data_crea,2003-02-24 00:00:00,41933
segnatura,SR,segnatura,SR,41932
noName,262.1/46,noName,262.1/46,41932
cod_sez,AE,cod_sez,AE,41932
n_s_sez,3,n_s_sez,3,41932
autore,"GIOVANNI PAOLO II, PAPA",autore,"GIOVANNI PAOLO II, PAPA",41932
titolo,APRITE LE PORTE AL REDENTORE BOLLA D'INDIZIONE DELL'ANNO GIUBILARE DELLA REDENZIONE 1983-84,titolo,APRITE LE PORTE AL REDENTORE BOLLA D'INDIZIONE DELL'ANNO GIUBILARE DELLA REDENZIONE 1983-84,41932
edizione,I,edizione,I,41932
luogo_pub,ROMA,luogo_pub,ROMA,41932
editore,PAOLINE,editore,PAOLINE,41932
data_pub,COPYRIGHT 1983,data_pub,COPYRIGHT 1983,41932
volume,2025-01-01 00:00:00,volume,2025-01-01 00:00:00,41932
pagine,16,pagine,16,41932
formato,18,formato,18,41932
collezion,MAGISTERO N.92,collezion,MAGISTERO N.92,41932
data_crea,2003-02-24 00:00:00,data_crea,2003-02-24 00:00:00,41932
segnatura,SR,segnatura,SR,41931
noName,262.1/45,noName,262.1/45,41931
cod_sez,AE,cod_sez,AE,41931
n_s_sez,3,n_s_sez,3,41931
titolo,CURA PASTORALE DELLE VOCAZIONI NELLE CHIESE PARTICOLARI ONI ERCCLESIASTICHE,titolo,CURA PASTORALE DELLE VOCAZIONI NELLE CHIESE PARTICOLARI ONI ERCCLESIASTICHE,41931
collabor,CONGRESSO INTERNAZ. DEI VESCOVI E DI ALTRI RESPONSABILI DELLE VOCAZI,collabor,CONGRESSO INTERNAZ. DEI VESCOVI E DI ALTRI RESPONSABILI DELLE VOCAZI,41931
edizione,I,edizione,I,41931
luogo_pub,ROMA,luogo_pub,ROMA,41931
editore,PAOLINE,editore,PAOLINE,41931
data_pub,COPYRIGHT 1982,data_pub,COPYRIGHT 1982,41931
volume,2025-01-01 00:00:00,volume,2025-01-01 00:00:00,41931
pagine,72,pagine,72,41931
formato,18,formato,18,41931
collezion,MAGISTERO N.90,collezion,MAGISTERO N.90,41931
data_crea,2003-02-24 00:00:00,data_crea,2003-02-24 00:00:00,41931
segnatura,SR,segnatura,SR,41930
noName,262.1/44,noName,262.1/44,41930
cod_sez,AE,cod_sez,AE,41930
n_s_sez,3,n_s_sez,3,41930
autore,CONGREGAZIONE EDUCAZIONE CATTOLICA SEMINARI,autore,CONGREGAZIONE EDUCAZIONE CATTOLICA SEMINARI,41930
edizione,I,edizione,I,41930
luogo_pub,ROMA,luogo_pub,ROMA,41930
editore,PAOLINE,editore,PAOLINE,41930
data_pub,COPYRIGHT 1982,data_pub,COPYRIGHT 1982,41930
volume,2025-01-01 00:00:00,volume,2025-01-01 00:00:00,41930
pagine,48,pagine,48,41930
formato,18,formato,18,41930
collezion,MAGISTERO N.89,collezion,MAGISTERO N.89,41930
data_crea,2003-02-24 00:00:00,data_crea,2003-02-24 00:00:00,41930
segnatura,SR,segnatura,SR,41929
noName,262.1/43,noName,262.1/43,41929
cod_sez,AE,cod_sez,AE,41929
n_s_sez,3,n_s_sez,3,41929
autore,COMMISSIONE EPISCOPALE PER LA COOPERAZIONE TRA LE,autore,COMMISSIONE EPISCOPALE PER LA COOPERAZIONE TRA LE,41929
edizione,I,edizione,I,41929
luogo_pub,ROMA,luogo_pub,ROMA,41929
editore,PAOLINE,editore,PAOLINE,41929
data_pub,COPYRIGHT 1982,data_pub,COPYRIGHT 1982,41929
volume,2025-01-01 00:00:00,volume,2025-01-01 00:00:00,41929
pagine,63,pagine,63,41929
formato,18,formato,18,41929
collezion,MAGISTERO N.88,collezion,MAGISTERO N.88,41929
data_crea,2003-02-24 00:00:00,data_crea,2003-02-24 00:00:00,41929
segnatura,SR,segnatura,SR,41928
noName,262.1/42,noName,262.1/42,41928
cod_sez,AE,cod_sez,AE,41928
n_s_sez,3,n_s_sez,3,41928
autore,"GIOVANNI PAOLO II, PAPA",autore,"GIOVANNI PAOLO II, PAPA",41928
titolo,"TVERGINITA' O CELIBATO"" PER IL REGNO DEI CIELI"" V CICLO DI CATECHESI DI G.P. II ALLE UDIENZE GENERALI",titolo,"TVERGINITA' O CELIBATO"" PER IL REGNO DEI CIELI"" V CICLO DI CATECHESI DI G.P. II ALLE UDIENZE GENERALI",41928
edizione,I,edizione,I,41928
luogo_pub,ROMA,luogo_pub,ROMA,41928
editore,PAOLINE,editore,PAOLINE,41928
data_pub,COPYRIGHT 1982,data_pub,COPYRIGHT 1982,41928
volume,2025-01-01 00:00:00,volume,2025-01-01 00:00:00,41928
pagine,45,pagine,45,41928
formato,18,formato,18,41928
collezion,MAGISTERO N.87,collezion,MAGISTERO N.87,41928
data_crea,2003-02-24 00:00:00,data_crea,2003-02-24 00:00:00,41928
segnatura,SR,segnatura,SR,41927
noName,262.1/41,noName,262.1/41,41927
cod_sez,AE,cod_sez,AE,41927
n_s_sez,3,n_s_sez,3,41927
autore,"GIOVANNI PAOLO II, PAPA",autore,"GIOVANNI PAOLO II, PAPA",41927
titolo,TEOLOGIA DEL CORPO 2 - IV CICLO DI CATECHESI DI G.P. II ALLE UDIENZE GENERALI,titolo,TEOLOGIA DEL CORPO 2 - IV CICLO DI CATECHESI DI G.P. II ALLE UDIENZE GENERALI,41927
edizione,I,edizione,I,41927
luogo_pub,ROMA,luogo_pub,ROMA,41927
editore,PAOLINE,editore,PAOLINE,41927
data_pub,COPYRIGHT 1982,data_pub,COPYRIGHT 1982,41927
volume,2025-01-01 00:00:00,volume,2025-01-01 00:00:00,41927
pagine,47,pagine,47,41927
formato,18,formato,18,41927
collezion,MAGISTERO N.86,collezion,MAGISTERO N.86,41927
data_crea,2003-02-24 00:00:00,data_crea,2003-02-24 00:00:00,41927
segnatura,SR,segnatura,SR,41926
noName,262.1/40,noName,262.1/40,41926
cod_sez,AE,cod_sez,AE,41926
n_s_sez,3,n_s_sez,3,41926
autore,C.E.I.,autore,C.E.I.,41926
titolo,IMPEGNO DELLE CHIESE CHE SONO IN ITALIA PERCHE' SI RAVVIVI LA SPERAN ZA ME,titolo,IMPEGNO DELLE CHIESE CHE SONO IN ITALIA PERCHE' SI RAVVIVI LA SPERAN ZA ME,41926
edizione,I,edizione,I,41926
luogo_pub,ROMA,luogo_pub,ROMA,41926
editore,PAOLINE,editore,PAOLINE,41926
data_pub,COPYRIGHT 1982,data_pub,COPYRIGHT 1982,41926
volume,2025-01-01 00:00:00,volume,2025-01-01 00:00:00,41926
pagine,8,pagine,8,41926
formato,18,formato,18,41926
collezion,MAGISTERO N.85,collezion,MAGISTERO N.85,41926
data_crea,2003-02-24 00:00:00,data_crea,2003-02-24 00:00:00,41926
segnatura,SR,segnatura,SR,41925
noName,262.1/39,noName,262.1/39,41925
cod_sez,AE,cod_sez,AE,41925
n_s_sez,3,n_s_sez,3,41925
autore,"GIOVANNI PAOLO II, PAPA",autore,"GIOVANNI PAOLO II, PAPA",41925
edizione,I,edizione,I,41925
luogo_pub,ROMA,luogo_pub,ROMA,41925
editore,PAOLINE,editore,PAOLINE,41925
data_pub,COPYRIGHT 1982,data_pub,COPYRIGHT 1982,41925
volume,2025-01-01 00:00:00,volume,2025-01-01 00:00:00,41925
pagine,48,pagine,48,41925
formato,18,formato,18,41925
collezion,MAGISTERO N.84,collezion,MAGISTERO N.84,41925
data_crea,2003-02-24 00:00:00,data_crea,2003-02-24 00:00:00,41925
segnatura,SR,segnatura,SR,41924
noName,262.1/38,noName,262.1/38,41924
cod_sez,AE,cod_sez,AE,41924
n_s_sez,3,n_s_sez,3,41924
autore,C.E.I.,autore,C.E.I.,41924
titolo,NOTA PASTORALE SULLE SALE CINEMATOGRAFICHE DIPENDENTI DALL'AUTORITA' ECCLESIASTICA,titolo,NOTA PASTORALE SULLE SALE CINEMATOGRAFICHE DIPENDENTI DALL'AUTORITA' ECCLESIASTICA,41924
edizione,I,edizione,I,41924
luogo_pub,ROMA,luogo_pub,ROMA,41924
editore,PAOLINE,editore,PAOLINE,41924
data_pub,COPYRIGHT 1982,data_pub,COPYRIGHT 1982,41924
volume,2025-01-01 00:00:00,volume,2025-01-01 00:00:00,41924
pagine,8,pagine,8,41924
formato,18,formato,18,41924
collezion,MAGISTERO N.83,collezion,MAGISTERO N.83,41924
data_crea,2003-02-24 00:00:00,data_crea,2003-02-24 00:00:00,41924
segnatura,SR,segnatura,SR,41923
noName,262.1/37,noName,262.1/37,41923
cod_sez,AE,cod_sez,AE,41923
n_s_sez,3,n_s_sez,3,41923
titolo,LA FORMAZIONE DEI CATECHISTI NELLA COMUNITA' CRISTIANA CULTURA+ UFFICIO CAT. NAZ.,titolo,LA FORMAZIONE DEI CATECHISTI NELLA COMUNITA' CRISTIANA CULTURA+ UFFICIO CAT. NAZ.,41923
collabor,"COMMISSIONE EPISCOPALE PER LA DOTTRINA DELLA FEDE, LA CATECHESI E LA",collabor,"COMMISSIONE EPISCOPALE PER LA DOTTRINA DELLA FEDE, LA CATECHESI E LA",41923
edizione,I,edizione,I,41923
luogo_pub,ROMA,luogo_pub,ROMA,41923
editore,PAOLINE,editore,PAOLINE,41923
data_pub,COPYRIGHT 1982,data_pub,COPYRIGHT 1982,41923
volume,2025-01-01 00:00:00,volume,2025-01-01 00:00:00,41923
pagine,44,pagine,44,41923
formato,18,formato,18,41923
collezion,MAGISTERO N.82,collezion,MAGISTERO N.82,41923
data_crea,2003-02-24 00:00:00,data_crea,2003-02-24 00:00:00,41923
segnatura,SR,segnatura,SR,41922
noName,262.1/36,noName,262.1/36,41922
cod_sez,AE,cod_sez,AE,41922
n_s_sez,3,n_s_sez,3,41922
autore,"GIOVANNI PAOLO II, PAPA",autore,"GIOVANNI PAOLO II, PAPA",41922
edizione,I,edizione,I,41922
luogo_pub,ROMA,luogo_pub,ROMA,41922
editore,PAOLINE,editore,PAOLINE,41922
data_pub,COPYRIGHT 1982,data_pub,COPYRIGHT 1982,41922
volume,2025-01-01 00:00:00,volume,2025-01-01 00:00:00,41922
pagine,8,pagine,8,41922
formato,18,formato,18,41922
collezion,MAGISTERO N.81,collezion,MAGISTERO N.81,41922
data_crea,2003-02-24 00:00:00,data_crea,2003-02-24 00:00:00,41922
segnatura,SR,segnatura,SR,41921
noName,262.1/35,noName,262.1/35,41921
cod_sez,AE,cod_sez,AE,41921
n_s_sez,3,n_s_sez,3,41921
autore,"GIOVANNI PAOLO II, PAPA",autore,"GIOVANNI PAOLO II, PAPA",41921
titolo,LA MADONNA NELLA PAROLA DI GIOVANNI PAOLO II 1978- 1980,titolo,LA MADONNA NELLA PAROLA DI GIOVANNI PAOLO II 1978- 1980,41921
edizione,I,edizione,I,41921
luogo_pub,ROMA,luogo_pub,ROMA,41921
editore,PAOLINE,editore,PAOLINE,41921
data_pub,COPYRIGHT 1982,data_pub,COPYRIGHT 1982,41921
volume,2025-01-01 00:00:00,volume,2025-01-01 00:00:00,41921
pagine,68,pagine,68,41921
formato,18,formato,18,41921
collezion,MAGISTERO N.79,collezion,MAGISTERO N.79,41921
data_crea,2003-02-24 00:00:00,data_crea,2003-02-24 00:00:00,41921
segnatura,SR,segnatura,SR,41920
noName,262.1/34,noName,262.1/34,41920
cod_sez,AE,cod_sez,AE,41920
n_s_sez,3,n_s_sez,3,41920
autore,SINODO DEI VESCOVI,autore,SINODO DEI VESCOVI,41920
titolo,LA RICONCILIAZIONE E LA PENITENZA LINEAMENTA,titolo,LA RICONCILIAZIONE E LA PENITENZA LINEAMENTA,41920
edizione,I,edizione,I,41920
luogo_pub,ROMA,luogo_pub,ROMA,41920
editore,PAOLINE,editore,PAOLINE,41920
data_pub,COPYRIGHT 1982,data_pub,COPYRIGHT 1982,41920
volume,2025-01-01 00:00:00,volume,2025-01-01 00:00:00,41920
pagine,48,pagine,48,41920
formato,18,formato,18,41920
collezion,MAGISTERO N.77,collezion,MAGISTERO N.77,41920
data_crea,2003-02-24 00:00:00,data_crea,2003-02-24 00:00:00,41920
segnatura,SR,segnatura,SR,41919
noName,262.1/33,noName,262.1/33,41919
cod_sez,AE,cod_sez,AE,41919
n_s_sez,3,n_s_sez,3,41919
autore,"GIOVANNI PAOLO II, PAPA",autore,"GIOVANNI PAOLO II, PAPA",41919
titolo,LA PACE NELLA PAROLA DI GIOVANNI PAOLO II 1978-1982,titolo,LA PACE NELLA PAROLA DI GIOVANNI PAOLO II 1978-1982,41919
edizione,I,edizione,I,41919
luogo_pub,ROMA,luogo_pub,ROMA,41919
