field,value,campo,valore,n_scheda
n_s_sez,3,n_s_sez,3,42153
autore,"VIGANO', ANGELO",autore,"VIGANO', ANGELO",42153
edizione,I,edizione,I,42153
luogo_pub,TORINO,luogo_pub,TORINO,42153
editore,LDC,editore,LDC,42153
data_pub,COPYRIGHT 1993,data_pub,COPYRIGHT 1993,42153
volume,2025-01-01 00:00:00,volume,2025-01-01 00:00:00,42153
pagine,40,pagine,40,42153
formato,18,formato,18,42153
collezion,VITA CONSACRATA N.21,collezion,VITA CONSACRATA N.21,42153
data_crea,2003-02-28 00:00:00,data_crea,2003-02-28 00:00:00,42153
segnatura,SR,segnatura,SR,42152
noName,262.1/231,noName,262.1/231,42152
cod_sez,AE,cod_sez,AE,42152
n_s_sez,3,n_s_sez,3,42152
autore,"VIGANO', ANGELO",autore,"VIGANO', ANGELO",42152
edizione,I,edizione,I,42152
luogo_pub,TORINO,luogo_pub,TORINO,42152
editore,LDC,editore,LDC,42152
data_pub,COPYRIGHT 1981,data_pub,COPYRIGHT 1981,42152
volume,2025-01-01 00:00:00,volume,2025-01-01 00:00:00,42152
pagine,86,pagine,86,42152
formato,18,formato,18,42152
collezion,VITA CONSACRATA N.10,collezion,VITA CONSACRATA N.10,42152
data_crea,2003-02-28 00:00:00,data_crea,2003-02-28 00:00:00,42152
segnatura,SR,segnatura,SR,42151
noName,262.1/230,noName,262.1/230,42151
cod_sez,AE,cod_sez,AE,42151
n_s_sez,3,n_s_sez,3,42151
autore,"VIGANO', EGIDIO",autore,"VIGANO', EGIDIO",42151
titolo,LA VITA CONSACRATA OGGI CONVEGNO DEI SUPERIORI GENERALI IN PREPARAZIONE AL SINODO 1994,titolo,LA VITA CONSACRATA OGGI CONVEGNO DEI SUPERIORI GENERALI IN PREPARAZIONE AL SINODO 1994,42151
edizione,I,edizione,I,42151
luogo_pub,TORINO,luogo_pub,TORINO,42151
editore,LDC,editore,LDC,42151
data_pub,COPYRIGHT 1994,data_pub,COPYRIGHT 1994,42151
volume,2025-01-01 00:00:00,volume,2025-01-01 00:00:00,42151
pagine,31,pagine,31,42151
formato,18,formato,18,42151
collezion,VITA CONSACRATA N.24,collezion,VITA CONSACRATA N.24,42151
data_crea,2003-02-28 00:00:00,data_crea,2003-02-28 00:00:00,42151
segnatura,SR,segnatura,SR,42150
noName,262.1/229,noName,262.1/229,42150
cod_sez,AE,cod_sez,AE,42150
n_s_sez,3,n_s_sez,3,42150
autore,"VACCA, MARIO",autore,"VACCA, MARIO",42150
titolo,RELIGIOSI E RELIGIOSE NELLA VITA PASTORALE DELLA CHIESA DIOCESANA UN CAMMINO DI COMUNIONE,titolo,RELIGIOSI E RELIGIOSE NELLA VITA PASTORALE DELLA CHIESA DIOCESANA UN CAMMINO DI COMUNIONE,42150
edizione,I,edizione,I,42150
luogo_pub,TORINO,luogo_pub,TORINO,42150
editore,LDC,editore,LDC,42150
data_pub,COPYRIGHT 1993,data_pub,COPYRIGHT 1993,42150
volume,2025-01-01 00:00:00,volume,2025-01-01 00:00:00,42150
pagine,32,pagine,32,42150
formato,18,formato,18,42150
collezion,VITA CONSACRATA N.22,collezion,VITA CONSACRATA N.22,42150
data_crea,2003-02-28 00:00:00,data_crea,2003-02-28 00:00:00,42150
segnatura,SR,segnatura,SR,42149
noName,262.1/228,noName,262.1/228,42149
cod_sez,AE,cod_sez,AE,42149
n_s_sez,3,n_s_sez,3,42149
autore,"VACCA, MARIO",autore,"VACCA, MARIO",42149
titolo,PARROCCHIE AFFIDATE A RELIGIOSI: SUPPLENZA O SPAZIO PER UNA SPECIFIC ITA' DI ANNUNCIO?,titolo,PARROCCHIE AFFIDATE A RELIGIOSI: SUPPLENZA O SPAZIO PER UNA SPECIFIC ITA' DI ANNUNCIO?,42149
edizione,I,edizione,I,42149
luogo_pub,TORINO,luogo_pub,TORINO,42149
editore,LDC,editore,LDC,42149
data_pub,COPYRIGHT 1978,data_pub,COPYRIGHT 1978,42149
volume,2025-01-01 00:00:00,volume,2025-01-01 00:00:00,42149
pagine,24,pagine,24,42149
formato,18,formato,18,42149
collezion,VITA CONSACRATA N.2,collezion,VITA CONSACRATA N.2,42149
data_crea,2003-02-28 00:00:00,data_crea,2003-02-28 00:00:00,42149
segnatura,SR,segnatura,SR,42148
noName,255 T9,noName,255 T9,42148
cod_sez,AE,cod_sez,AE,42148
n_s_sez,3,n_s_sez,3,42148
autore,"TILLARD, J.-M. ROGER, O.P.",autore,"TILLARD, J.-M. ROGER, O.P.",42148
edizione,I,edizione,I,42148
luogo_pub,ROMA,luogo_pub,ROMA,42148
editore,U.S.M.I.,editore,U.S.M.I.,42148
data_pub,COPYRIGHT 1975,data_pub,COPYRIGHT 1975,42148
volume,2025-01-01 00:00:00,volume,2025-01-01 00:00:00,42148
pagine,80,pagine,80,42148
formato,18,formato,18,42148
data_crea,2003-02-28 00:00:00,data_crea,2003-02-28 00:00:00,42148
segnatura,SR,segnatura,SR,42147
noName,262.1/227,noName,262.1/227,42147
cod_sez,AE,cod_sez,AE,42147
n_s_sez,3,n_s_sez,3,42147
autore,"GOZZELINO, GIORGIO",autore,"GOZZELINO, GIORGIO",42147
edizione,I,edizione,I,42147
luogo_pub,TORINO,luogo_pub,TORINO,42147
editore,LDC,editore,LDC,42147
data_pub,COPYRIGHT 1978,data_pub,COPYRIGHT 1978,42147
volume,2025-01-01 00:00:00,volume,2025-01-01 00:00:00,42147
pagine,80,pagine,80,42147
formato,18,formato,18,42147
collezion,VITA CONSACRATA N.1,collezion,VITA CONSACRATA N.1,42147
data_crea,2003-02-28 00:00:00,data_crea,2003-02-28 00:00:00,42147
segnatura,SR,segnatura,SR,42146
noName,262.1/226,noName,262.1/226,42146
cod_sez,AE,cod_sez,AE,42146
n_s_sez,3,n_s_sez,3,42146
autore,"GIUDICI, MARIA PIA",autore,"GIUDICI, MARIA PIA",42146
edizione,I,edizione,I,42146
luogo_pub,TORINO,luogo_pub,TORINO,42146
editore,LDC,editore,LDC,42146
data_pub,COPYRIGHT 1982,data_pub,COPYRIGHT 1982,42146
volume,2025-01-01 00:00:00,volume,2025-01-01 00:00:00,42146
pagine,56,pagine,56,42146
formato,18,formato,18,42146
collezion,VITA CONSACRATA N.11,collezion,VITA CONSACRATA N.11,42146
data_crea,2003-02-28 00:00:00,data_crea,2003-02-28 00:00:00,42146
segnatura,SR,segnatura,SR,42145
noName,262.1/225,noName,262.1/225,42145
cod_sez,AE,cod_sez,AE,42145
n_s_sez,3,n_s_sez,3,42145
autore,"FEDRIGOTTI, GIOVANNI",autore,"FEDRIGOTTI, GIOVANNI",42145
edizione,I,edizione,I,42145
luogo_pub,TORINO,luogo_pub,TORINO,42145
editore,LDC,editore,LDC,42145
data_pub,COPYRIGHT 1995,data_pub,COPYRIGHT 1995,42145
volume,2025-01-01 00:00:00,volume,2025-01-01 00:00:00,42145
pagine,40,pagine,40,42145
formato,18,formato,18,42145
collezion,VITA CONSACRATA N.28,collezion,VITA CONSACRATA N.28,42145
data_crea,2003-02-28 00:00:00,data_crea,2003-02-28 00:00:00,42145
segnatura,SR,segnatura,SR,42144
noName,262.1/224,noName,262.1/224,42144
cod_sez,AE,cod_sez,AE,42144
n_s_sez,3,n_s_sez,3,42144
autore,"BAROFFIO, BONIFACIO",autore,"BAROFFIO, BONIFACIO",42144
edizione,I,edizione,I,42144
luogo_pub,TORINO,luogo_pub,TORINO,42144
editore,LDC,editore,LDC,42144
data_pub,COPYRIGHT 1980,data_pub,COPYRIGHT 1980,42144
volume,2025-01-01 00:00:00,volume,2025-01-01 00:00:00,42144
pagine,48,pagine,48,42144
formato,18,formato,18,42144
collezion,VITA CONSACRATA N.6,collezion,VITA CONSACRATA N.6,42144
data_crea,2003-02-28 00:00:00,data_crea,2003-02-28 00:00:00,42144
segnatura,SR,segnatura,SR,42143
noName,262.1/223,noName,262.1/223,42143
cod_sez,AE,cod_sez,AE,42143
n_s_sez,3,n_s_sez,3,42143
autore,"BOSCO, VALENTINO, S.M.M.",autore,"BOSCO, VALENTINO, S.M.M.",42143
edizione,I,edizione,I,42143
luogo_pub,TORINO,luogo_pub,TORINO,42143
editore,LDC,editore,LDC,42143
data_pub,COPYRIGHT 1980,data_pub,COPYRIGHT 1980,42143
volume,2025-01-01 00:00:00,volume,2025-01-01 00:00:00,42143
pagine,48,pagine,48,42143
formato,18,formato,18,42143
collezion,VITA CONSACRATA N.5,collezion,VITA CONSACRATA N.5,42143
data_crea,2003-02-28 00:00:00,data_crea,2003-02-28 00:00:00,42143
segnatura,SR,segnatura,SR,42142
noName,262.1/222,noName,262.1/222,42142
cod_sez,AE,cod_sez,AE,42142
n_s_sez,3,n_s_sez,3,42142
autore,"BOSCO, VALENTINO, S.M.M.",autore,"BOSCO, VALENTINO, S.M.M.",42142
edizione,I,edizione,I,42142
luogo_pub,TORINO,luogo_pub,TORINO,42142
editore,LDC,editore,LDC,42142
data_pub,COPYRIGHT 1992,data_pub,COPYRIGHT 1992,42142
volume,2025-01-01 00:00:00,volume,2025-01-01 00:00:00,42142
pagine,116,pagine,116,42142
formato,18,formato,18,42142
collezion,VITA CONSACRATA N.20,collezion,VITA CONSACRATA N.20,42142
data_crea,2003-02-28 00:00:00,data_crea,2003-02-28 00:00:00,42142
segnatura,SR,segnatura,SR,42141
noName,262.1/221,noName,262.1/221,42141
cod_sez,AE,cod_sez,AE,42141
n_s_sez,3,n_s_sez,3,42141
autore,"BOSCO, VALENTINO, S.M.M.",autore,"BOSCO, VALENTINO, S.M.M.",42141
edizione,I,edizione,I,42141
luogo_pub,TORINO,luogo_pub,TORINO,42141
editore,LDC,editore,LDC,42141
data_pub,COPYRIGHT 1989,data_pub,COPYRIGHT 1989,42141
volume,2025-01-01 00:00:00,volume,2025-01-01 00:00:00,42141
pagine,47,pagine,47,42141
formato,18,formato,18,42141
collezion,VITA CONSACRATA N.18,collezion,VITA CONSACRATA N.18,42141
data_crea,2003-02-28 00:00:00,data_crea,2003-02-28 00:00:00,42141
segnatura,SR,segnatura,SR,42140
noName,262.1/220,noName,262.1/220,42140
cod_sez,AE,cod_sez,AE,42140
n_s_sez,3,n_s_sez,3,42140
autore,"BOSCO, VALENTINO, S.M.M.",autore,"BOSCO, VALENTINO, S.M.M.",42140
edizione,I,edizione,I,42140
luogo_pub,TORINO,luogo_pub,TORINO,42140
editore,LDC,editore,LDC,42140
data_pub,COPYRIGHT 1978,data_pub,COPYRIGHT 1978,42140
volume,2025-01-01 00:00:00,volume,2025-01-01 00:00:00,42140
pagine,32,pagine,32,42140
formato,18,formato,18,42140
collezion,VITA CONSACRATA N. 4,collezion,VITA CONSACRATA N. 4,42140
data_crea,2003-02-28 00:00:00,data_crea,2003-02-28 00:00:00,42140
segnatura,SR,segnatura,SR,42139
noName,262.1/219,noName,262.1/219,42139
cod_sez,AE,cod_sez,AE,42139
n_s_sez,3,n_s_sez,3,42139
autore,"GIOVANNI PAOLO II, PAPA",autore,"GIOVANNI PAOLO II, PAPA",42139
edizione,I,edizione,I,42139
luogo_pub,TORINO,luogo_pub,TORINO,42139
editore,LDC,editore,LDC,42139
data_pub,COPYRIGHT 1988,data_pub,COPYRIGHT 1988,42139
volume,2025-01-01 00:00:00,volume,2025-01-01 00:00:00,42139
pagine,24,pagine,24,42139
formato,18,formato,18,42139
collezion,SERVIZIO DELL'UNITA' N. 63,collezion,SERVIZIO DELL'UNITA' N. 63,42139
data_crea,2003-02-28 00:00:00,data_crea,2003-02-28 00:00:00,42139
segnatura,SR,segnatura,SR,42138
noName,262.1/218,noName,262.1/218,42138
cod_sez,AE,cod_sez,AE,42138
n_s_sez,3,n_s_sez,3,42138
autore,CONGREGAZIONE PER LA DOTTRINA DELLA FEDE,autore,CONGREGAZIONE PER LA DOTTRINA DELLA FEDE,42138
titolo,L'AMMISSIONE DELLE DONNE AL SACERDOZIO MINISTERIALE -INTER INSIGNIORES- 1975,titolo,L'AMMISSIONE DELLE DONNE AL SACERDOZIO MINISTERIALE -INTER INSIGNIORES- 1975,42138
edizione,I,edizione,I,42138
