n_scheda,titolo,autore,data_pub,luogo_pub,editore,collezion,ext_source,ext_match_score,ext_title,ext_author,ext_year,ext_url,ext_identifiers,n_scheda_field,cod_isbn,cod_sez,collabor,edizione,ext_language,ext_notes,ext_physical_desc,ext_place,ext_publisher,formato,n_s_sez,note_sp,pagine,soggetto
41346,,"DEWEY, JOHN",COPYRIGHT 1974,TORINO,EINAUDI,FILOSOFIA AMERICANA,OPAC SBN,0.880,Il pensiero di John Dewey : estratti tradotti e coordinati / Romeo Paglione,"Dewey, John",1968,https://opac.sbn.it/bid/SBL0074611,"{""bid"": ""IT\\ICCU\\SBL\\0074611""}",41346,,FL,"A. VISALBERGHI, TRAD.",I,ITALIANO,,97 p. ; 21 cm,,,19,20,,351,
41347,,"TRESMONTANT, CLAUDE",COPYRIGHT 1981,MILANO,JACA BOOK,FILOSOFIA,OPAC SBN,0.980,"Cristianesimo, filosofia, scienze / Claude Tresmontant","Tresmontant, Claude",1983,https://opac.sbn.it/bid/CFI0044725,"{""bid"": ""IT\\ICCU\\CFI\\0044725""}",41347,,FL,"S. DE ZANET, TRAD.",I,ITALIANO,Traduzione di Stefàna De Zanet.,270 p. ; 23 cm,,,23,21,,270,
41348,,"DE LUBAC, HENRI",COPYRIGHT 1969,TORINO,MARIETTI,CRITICA A TEILHARD,OPAC SBN,0.713,Claudel theologien / [Henri de Lubac],"Lubac, Henri : de",1969,https://opac.sbn.it/bid/UM10220674,"{""bid"": ""IT\\ICCU\\UM1\\0220674""}",41348,,FL,"C. MORIN-L.BACCHIARELLO, TRAD",I,FRANCESE,"Estratto da: La pensée religieuse de Claudel del Centre catholique des intellectuels français, Paris, Desclée De Brouwer, 1969",P. 25-29 ; 18 cm,,,19.5,21,,195,
41349,,"VIGORELLI, GIANCARLO",COPYRIGHT 1963,MILANO,IL SAGGIATORE,VITA E OPERE DI TEILHARD,OPAC SBN,0.940,Il gesuita proibito : vita e opere di P. Teilhard de Chardin / Giancarlo Vigorelli,"Vigorelli, Giancarlo",1963,https://opac.sbn.it/bid/SBL0249638,"{""bid"": ""IT\\ICCU\\SBL\\0249638""}",41349,,FL,,III,ITALIANO,,396 p. ; 21 cm,,,21,21,,396,
41350,,"MORGIONE, LUIGI",COPYRIGHT 1977,TORINO,PAOLINE,CRITICA DI TEILHARD,OPAC SBN,0.940,Teilhard de Chardin / Luigi Morgione,"Morgione, Luigi",1977,https://opac.sbn.it/bid/SBL0153207,"{""bid"": ""IT\\ICCU\\SBL\\0153207""}",41350,,FL,,I,ITALIANO,,184 p. : ill. ; 19 cm.,,,19,21,,185,
41351,,"CRESPY, GEORGES",COPYRIGHT 1963,TORINO,BORLA,CRITICA DI TEILHARD,OPAC SBN,0.940,Das Theologische denken Teilhard de Chardins / Georges Crespy,"Crespy, Georges",1964,https://opac.sbn.it/bid/IEI0314985,"{""bid"": ""IT\\ICCU\\IEI\\0314985""}",41351,,FL,"G. AULETTA, TRAD.",I,TEDESCO,,343 p. ; 21 cm.,,,21,21,,251,
41352,,"RIDEAU, EMILE",COPYRIGHT 1969,CATANIA,PAOLINE,CRITICA DI TEILHARD,OPAC SBN,0.869,Voici notre foi... : Synthèse de la foi catholique / Émile Rideau,"Rideau, Émile",1968,https://opac.sbn.it/bid/PBE0077448,"{""bid"": ""IT\\ICCU\\PBE\\0077448""}",41352,,FL,"BENEDETTINE DI CITERNA, TRAD.",I,FRANCESE,,183 p. ; 20,,,18,21,,269,
41353,,"SMULDERS, PIERRE",COPYRIGHT 1965,TORINO,BORLA,CRITICA DI TEILHARD,OPAC SBN,0.940,La visió de Teilhard de Chardin / P. Smulders,"Smulders, Pierre",1966,https://opac.sbn.it/bid/TO00926651,"{""bid"": ""IT\\ICCU\\TO0\\0926651""}",41353,,FL,"G. AULETTA, TRAD.",I,CATALANO,Traducció de Gabriel Bas.,294 p. ; 20 cm,,,21,21,,321,
41354,,"NEWTON, ISAAC",COPYRIGHT 1969,TORINO,EINAUDI,CRITICA A I. NEWTON,OPAC SBN,0.880,Il pensiero scientifico di Newton / Isaac Newton.,"Newton, Isaac",,https://opac.sbn.it/bid/CSA0155786,"{""bid"": ""IT\\ICCU\\CSA\\0155786""}",41354,,FL,DI ALBERTO PALA,I,ITALIANO,,,,,21.5,21,,254,
41355,,"FANO, GIORGIO",COPYRIGHT 1968,TORINO,EINAUDI,CRITICA / PRESENTAZIONE DELLE ODIERNE CORRENTI,OPAC SBN,0.880,Cinquantanove lettere di Giorgio Fano a Giorgio Voghera / Giorgio Fano,"Fano, Giorgio",1960,https://opac.sbn.it/bid/TSA1731529,"{""bid"": ""IT\\ICCU\\TSA\\1731529""}",41355,,FL,,I,ITALIANO,,,,,21.5,21,,172,
41356,,"MERLEAU-PONTY, MAURICE",COPYRIGHT 1967,MILANO,IL SAGGIATORE,FILOSOFIA,OPAC SBN,0.980,La natura tra filosofia e scienza / Maurice Merleau-Ponty,"Merleau-Ponty, Maurice",1996,https://opac.sbn.it/bid/USM1963986,"{""bid"": ""IT\\ICCU\\USM\\1963986""}",41356,,FL,"G. ALFIERI, TRAD.",I,ITALIANO,"Estratto da : Chiasmi, pubblicazione della Società di studi su Maurice Merleau-Ponty, 1996.",9-14 p. ; 21 cm,,,21,21,,436,
41357,,"MERLEAU-PONTY, MAURICE",COPYRIGHT 1965,MILANO,SUGAR,FILOSOFIA,OPAC SBN,0.980,La natura tra filosofia e scienza / Maurice Merleau-Ponty,"Merleau-Ponty, Maurice",1996,https://opac.sbn.it/bid/USM1963986,"{""bid"": ""IT\\ICCU\\USM\\1963986""}",41357,,FL,A. BONOMI,I,ITALIANO,"Estratto da : Chiasmi, pubblicazione della Società di studi su Maurice Merleau-Ponty, 1996.",9-14 p. ; 21 cm,,,21,21,,462,
41358,,"LEIBNIZ, G. WILHELM",COPYRIGHT 1973,BOLOGNA,ZANICHELLI,FILOSOFIA,OPAC SBN,0.818,"Filosofia, scienza, storia / Gottfried Wilhelm Leibniz ; Selezione dei testi, traduzione e commenti di Clementina Ferrandi","Leibniz, Gottfried Wilhelm",2011,https://opac.sbn.it/bid/RMS2488853,"{""bid"": ""IT\\ICCU\\RMS\\2488853""}",41358,,FL,"V. MATHIEU, CURAT.",I,ITALIANO,,457 p. ; 22 cm.,,,24,20,,505,
41359,,"LEIBNIZ, G. WILHELM",COPYRIGHT 1961,TORINO,SEI,FILOSOFIA,OPAC SBN,0.818,"Filosofia, scienza, storia / Gottfried Wilhelm Leibniz ; Selezione dei testi, traduzione e commenti di Clementina Ferrandi","Leibniz, Gottfried Wilhelm",2011,https://opac.sbn.it/bid/RMS2488853,"{""bid"": ""IT\\ICCU\\RMS\\2488853""}",41359,,FL,"F. AMERIO, CURAT.",II,ITALIANO,,457 p. ; 22 cm.,,,20,20,,151,
41360,,"LEIBNIZ, G. WILHELM",COPYRIGHT 1938,TORINO,PARAVIA,FILOSOFIA,OPAC SBN,0.818,"Filosofia, scienza, storia / Gottfried Wilhelm Leibniz ; Selezione dei testi, traduzione e commenti di Clementina Ferrandi","Leibniz, Gottfried Wilhelm",2011,https://opac.sbn.it/bid/RMS2488853,"{""bid"": ""IT\\ICCU\\RMS\\2488853""}",41360,,FL,"G.E. BARIE, CURAT.",II,ITALIANO,,457 p. ; 22 cm.,,,20,20,,70,
41361,,"LEIBNIZ, G. WILHELM",COPYRIGHT 1934,NAPOLI,LOFFREDO,FILOSOFIA,OPAC SBN,0.818,"Filosofia, scienza, storia / Gottfried Wilhelm Leibniz ; Selezione dei testi, traduzione e commenti di Clementina Ferrandi","Leibniz, Gottfried Wilhelm",2011,https://opac.sbn.it/bid/RMS2488853,"{""bid"": ""IT\\ICCU\\RMS\\2488853""}",41361,,FL,"E. CHIRIOTTI, TRAD.",I,ITALIANO,,457 p. ; 22 cm.,,,20,20,,"LXIX,104",
41362,,"PASCAL, BLAISE",COPYRIGHT 1933,MILANO,SIGNORELLI,FILOSOFIA,OPAC SBN,0.880,Pensées / Pascal,"Pascal, Blaise",1949,https://opac.sbn.it/bid/UFI0555078,"{""bid"": ""IT\\ICCU\\UFI\\0555078""}",41362,,FL,"G. FALCONI, CURAT.",I,FRANCESE,,"XXIX, 354 p. ; 23 cm.",,,15,20,,137,
41363,,CARTESIO,COPYRIGHT 1952,TORINO,SEI,FILOSOFIA,OPAC SBN,0.594,I principii della filosofia / Renato Cartesio,"Descartes, René",1996,https://opac.sbn.it/bid/NAP0693262,"{""bid"": ""IT\\ICCU\\NAP\\0693262""}",41363,,FL,A. LANTRUA,I,ITALIANO,,"274 p. : ill., 1 ritratto ; 19 cm",,,20,20,,155,
41364,,CARTESIO,COPYRIGHT 1972,TORINO,SEI,FILOSOFIA,OPAC SBN,0.594,I principii della filosofia / Renato Cartesio,"Descartes, René",1996,https://opac.sbn.it/bid/NAP0693262,"{""bid"": ""IT\\ICCU\\NAP\\0693262""}",41364,,FL,A. LANTRUA,VI RIV.,ITALIANO,,"274 p. : ill., 1 ritratto ; 19 cm",,,20,20,,201,
41365,,,COPYRIGHT 1943,TORINO,CHIANTORE,CRITICA A CARTESIO,NOT_FOUND,0.000,,,,,{},41365,,FL,DI GALLO GALLI,I,,,,,,21.5,20,,443,
41366,"IL ""DISCORSO SUL METODO"" DI CARTESIO E IL PROBLEMA DEL METODO NEL XV II SECOLO","BRIANESE, GIORGIO",COPYRIGHT 1988,TORINO,PARAVIA,CRITICA A CARTESIO,OPAC SBN,0.588,Michelstaedter e la retorica / Giorgio Brianese,"Brianese, Giorgio",1988,https://opac.sbn.it/bid/TSA1396273,"{""bid"": ""IT\\ICCU\\TSA\\1396273""}",41366,,FL,,I,ITALIANO,"Estratto da: Dialoghi intorno a Michelstaedter, Gorizia, [1988?]",P. 122-135 ; 25 c,,,22,20,,211,
41367,CONGETTURE E CONFUTAZIONI DI POPPER E IL DIBATTITO EPISTEMOLOGICO POST-POPPERIANO,"BRIANESE, GIORGIO",COPYRIGHT 1988,TORINO,PARAVIA,CRITICA A POPPER,OPAC SBN,0.736,Congetture e confutazioni di Popper e il dibattito epistemologico post-popperiano / a cura di Giorgio Brianese,"Popper, Karl R.",1988,https://opac.sbn.it/bid/CFI0086076,"{""bid"": ""IT\\ICCU\\CFI\\0086076""}",41367,,FL,,I,ITALIANO,,"231 p., [1] carta di tav. : ill. ; 23 cm",,,22,22,,231,
41368,"IL ""MANIFESTO DEL PARTITO COMUNISTA""DI MARX ED ENGELS E IL DIBATTITO SOCIALISTA TRA UTOPIA E SCIENZA NELLA PRIMA META' DEL XIX SECOLO","TABARONI, NEREO",COPYRIGHT 1989,TORINO,PARAVIA,CRITICA AL MANIFESTO DI MARX,Open Library,0.846,"Il ""Manifesto del Partito comunista"" di Marx ed Engels e il dibattito socialista tra utopia e scienza nella prima metà del XIX secolo",Karl Marx,1989,https://openlibrary.org/works/OL23100105W,{},41368,,FL,,I,ita,,,,,22,22,,132,
41369,,,COPYRIGHT 1995,ROMA,STUDIUM,UN MAESTRO CONTEMPORANEO,NOT_FOUND,0.000,,,,,{},41369,,FL,A.V.,I,,,,,,22,22,,272,
41370,,"CROCE, BENEDETTO",COPYRIGHT 1998,TORINO,CENTRO PANNUNZIO,,OPAC SBN,0.667,Estetica / Benedetto Croce,"Croce, Benedetto <1866-1952>",1909,https://opac.sbn.it/bid/LO11146091,"{""bid"": ""IT\\ICCU\\LO1\\1146091""}",41370,,FL,"P. QUAGLIENI, CURAT.",I,ITALIANO,,1 v.,,,24,21,,35,
41371,,"MAZZANTINI, CARLO",COPYRIGHT 1995,TORINO,L'ARCA,CRITICA,OPAC SBN,0.778,"La ""idea estetica"" nella ""Critica del giudizio"" di Kant / Carlo Mazzantini","Mazzantini, Carlo <1895-1971>",1961,https://opac.sbn.it/bid/UTO1559740,"{""bid"": ""IT\\ICCU\\UTO\\1559740""}",41371,,FL,"ASS. CULTURALE ""A DEL NOCE""",I,ITALIANO,"Estratto da: Rivista di estetica, fasc. 1, a. 6., gen.-apr. 1961",40-76 p. ; 25 cm,,,21,21,,317,
41372,,"GIVONE, SERGIO",COPYRIGHT 1995,BARI,LATERZA,CRITICA,OPAC SBN,0.980,Vivavoce : filosofia e narrazione / Sergio Givone ; riflessione critica di Umberto Curi,"Givone, Sergio",2010,https://opac.sbn.it/bid/BAS0242931,"{""bid"": ""IT\\ICCU\\BAS\\0242931""}",41372,,FL,,II,ITALIANO,,87 p. ; 22 cm,,,21,21,,230,
41373,,"VANNI ROVIGHI, SOFIA",COPYRIGHT 1951,MILANO,MARZORATI,CRITICA KANTIANA,OPAC SBN,0.940,Umanesimo medioevale / Sofia Vanni Rovighi,"Vanni Rovighi, Sofia",1952,https://opac.sbn.it/bid/PUV0935329,"{""bid"": ""IT\\ICCU\\PUV\\0935329""}",41373,,FL,,II,ITALIANO,"Estr. da: Rivista di filosofia neo-scolastica, anno 45, fasc. 4, luglio-agosto 1952.",12 p. ; 24 cm,,,25,20,,247,
41374,ANALISI DEL PENSIERO DI E. KANT E CRITICA ALLA TESI DELL'IMPOSSIBILI TA' D'UNA METAFISICA,"PICONCELLI, PAOLO",1967,ROMA,DATTILOSCRITTO,CRITICA KANTIANA,OPAC SBN,0.451,Doveri presenti ad una coscienza cristiana / note e orientamenti a cura di Giulio P. Piconcelli,"Piconcelli, Giulio P. Paolo",1966,https://opac.sbn.it/bid/SBL0354111,"{""bid"": ""IT\\ICCU\\SBL\\0354111""}",41374,,FL,,I,ITALIANO,Litografato .,107 p. ; 24 cm,,,23.5,20,,196,
41375,,,1939,TORINO,PARAVIA,ANTOLOGIA,NOT_FOUND,0.000,,,,,{},41375,,FL,P. MARTINETTI,I,,,,,,20,20,,240,
41376,,"POLIGNAC, FRANCOIS DE",COPYRIGHT 1991,MILANO,JACA BOOK,LA GRECIA,OPAC SBN,0.859,"La nascita della città greca : culti, spazio e società nei secoli 8. e 7. a. C. / François de Polignac ; prefazione di Claude Mossé","Polignac, François : de",1991,https://opac.sbn.it/bid/LO10042801,"{""bid"": ""IT\\ICCU\\LO1\\0042801""}",41376,,FL,"E. ROBBERTO, TRAD.",I,ITALIANO,Trad. di Elio Robberto.,202 p. ; 23 cm,,,23,18,,203,
41377,,"DE CRESCENZO, LUCIANO",COPYRIGHT 1986,MILANO,MONDADORI,,OPAC SBN,0.880,Raffaele / Luciano De Crescenzo,"De Crescenzo, Luciano",1996,https://opac.sbn.it/bid/ANA0020716,"{""bid"": ""IT\\ICCU\\ANA\\0020716""}",41377,,FL,,XVIII,ITALIANO,,137 p. : ill. ; 20 cm.,,,22,18,FILOSOFIA RIDANCIANA DI DE CRESCENZO,239,
41378,,"DEZZA, PAOLO, S.I.",COPYRIGHT 1966,ROMA,GREGORIANA,FILOSOFIA,OPAC SBN,0.849,I neotomisti italiani : parte 1. filosofia teoretica / Paolo Dezza,"Dezza, Paolo",1942,https://opac.sbn.it/bid/PUV0345046,"{""bid"": ""IT\\ICCU\\PUV\\0345046""}",41378,,FL,,VI,ITALIANO,,326p. ; 22 cm.,,,20,11,,243,
41379,,GORGIA,COPYRIGHT 1960,MILANO,PAOLINE,FILOSOFIA,OPAC SBN,0.875,Encomio di Elena e altri scritti / Gorgia,Gorgias,1960,https://opac.sbn.it/bid/TO00960653,"{""bid"": ""IT\\ICCU\\TO0\\0960653""}",41379,,FL,"FORTUNATO PASQUALINO, CURAT.",II,ITALIANO,"Introduzione, trad. e note di F. Pasqualino.",88 p. ; 18 cm,,,17,18,,89,
41380,,PLATONE,COPYRIGHT 1968,TORINO,SEI,OPERE DI PLATONE,OPAC SBN,0.838,Opere di Platone / tradotte da Cesare Dalbono,Plato,,https://opac.sbn.it/bid/MIL0670854,"{""bid"": ""IT\\ICCU\\MIL\\0670854""}",41380,,FL,L. PAGLIANO,I,ITALIANO,,v. ; 23 cm.,,,19.5,18,,99,
41381,,PLATONE,COPYRIGHT 1963,TORINO,SEI,OPERE DI PLATONE,OPAC SBN,0.838,Opere di Platone / tradotte da Cesare Dalbono,Plato,,https://opac.sbn.it/bid/MIL0670854,"{""bid"": ""IT\\ICCU\\MIL\\0670854""}",41381,,FL,"L. PAGLIANO, CURAT.",I- RIST.,ITALIANO,,v. ; 23 cm.,,,19.5,18,,108,
41382,,PLATONE,COPYRIGHT 1963,TORINO,SEI,OPERE DI PLATONE,OPAC SBN,0.838,Opere di Platone / tradotte da Cesare Dalbono,Plato,,https://opac.sbn.it/bid/MIL0670854,"{""bid"": ""IT\\ICCU\\MIL\\0670854""}",41382,,FL,F. PIEMONTESE,I- RIST.,ITALIANO,,v. ; 23 cm.,,,19.5,18,,118,
41383,,PLATONE,COPYRIGHT 1964,TORINO,SEI,OPERE DI PLATONE,OPAC SBN,0.838,Opere di Platone / tradotte da Cesare Dalbono,Plato,,https://opac.sbn.it/bid/MIL0670854,"{""bid"": ""IT\\ICCU\\MIL\\0670854""}",41383,,FL,"VITO STAZZONE, CURAT.",I- RIST.,ITALIANO,,v. ; 23 cm.,,,19.5,18,,157,
41384,,PLATONE,COPYRIGHT 1964,TORINO,SEI,OPERE DI PLATONE,OPAC SBN,0.838,Opere di Platone / tradotte da Cesare Dalbono,Plato,,https://opac.sbn.it/bid/MIL0670854,"{""bid"": ""IT\\ICCU\\MIL\\0670854""}",41384,,FL,"G.A. ROGGERONE, CURAT.",I- RIST.,ITALIANO,,v. ; 23 cm.,,,19.5,18,,114,
41385,,PLATONE,COPYRIGHT 1963,TORINO,SEI,OPERE DI PLATONE,OPAC SBN,0.838,Opere di Platone / tradotte da Cesare Dalbono,Plato,,https://opac.sbn.it/bid/MIL0670854,"{""bid"": ""IT\\ICCU\\MIL\\0670854""}",41385,,FL,"G. FAGGIN, CURAT.",I- RIST.,ITALIANO,,v. ; 23 cm.,,,19.5,18,,105,
41386,,PLATONE,COPYRIGHT 1963,TORINO,SEI,OPERE DI PLATONE,OPAC SBN,0.838,Opere di Platone / tradotte da Cesare Dalbono,Plato,,https://opac.sbn.it/bid/MIL0670854,"{""bid"": ""IT\\ICCU\\MIL\\0670854""}",41386,,FL,"V. STAZZONE, CURAT.",I- RIST.,ITALIANO,,v. ; 23 cm.,,,19.5,18,,190,
41387,,PLATONE,COPYRIGHT 1987,TORINO,PARAVIA,OPERE DI PLATONE,OPAC SBN,0.838,Opere di Platone / tradotte da Cesare Dalbono,Plato,,https://opac.sbn.it/bid/MIL0670854,"{""bid"": ""IT\\ICCU\\MIL\\0670854""}",41387,,FL,"N. ABBAGNANO, CURAT.",I- RIST.,ITALIANO,,v. ; 23 cm.,,,19.5,18,,109,
41388,,PLATONE,COPYRIGHT 1988,TORINO,SEI,OPERE DI PLATONE,OPAC SBN,0.838,Opere di Platone / tradotte da Cesare Dalbono,Plato,,https://opac.sbn.it/bid/MIL0670854,"{""bid"": ""IT\\ICCU\\MIL\\0670854""}",41388,,FL,G. BOSIO,I,ITALIANO,,v. ; 23 cm.,,,19.5,18,IN LINGUA GRECA,87,
41389,CRITONE CON DUE INTERVENTI DI N. BOBBIO E R. VENDITTI,PLATONE,COPYRIGHT 1985,TORINO,PARAVIA,OPERE DI PLATONE,OPAC SBN,0.351,Dialoghi / Platone,Plato,,https://opac.sbn.it/bid/RAV0110022,"{""bid"": ""IT\\ICCU\\RAV\\0110022""}",41389,,FL,M.GIROTTO BEVILACQUA,I,ITALIANO,,v. ; 22 cm.,,,22,18,IN LINGUA GRECA,95,
41390,,PLATONE,COPYRIGHT 1985,TORINO,PARAVIA,OPERE DI PLATONE,OPAC SBN,0.838,Opere di Platone / tradotte da Cesare Dalbono,Plato,,https://opac.sbn.it/bid/MIL0670854,"{""bid"": ""IT\\ICCU\\MIL\\0670854""}",41390,,FL,"N. ABBAGNANO, CURAT.",I,ITALIANO,,v. ; 23 cm.,,,21,18,,119,
41391,,PLATONE,COPYRIGHT 1966,BARI,LATERZA,OPERE DI PLATONE,OPAC SBN,0.838,Opere di Platone / tradotte da Cesare Dalbono,Plato,,https://opac.sbn.it/bid/MIL0670854,"{""bid"": ""IT\\ICCU\\MIL\\0670854""}",41391,,FL,PASSI SCELTI A C. DI F. SARTORI,IV,ITALIANO,,v. ; 23 cm.,,,20,18,,198,
41392,,PLATONE,COPYRIGHT 1941,VERONA,LA SCALIGERA,OPERE DI PLATONE,OPAC SBN,0.838,Opere di Platone / tradotte da Cesare Dalbono,Plato,,https://opac.sbn.it/bid/MIL0670854,"{""bid"": ""IT\\ICCU\\MIL\\0670854""}",41392,,FL,"M.E. GARIN, CURAT.",I,ITALIANO,,v. ; 23 cm.,,,20,18,,143,
41393,,PLATONE,COPYRIGHT 1953,MILANO,RIZZOLI,OPERE DI PLATONE,OPAC SBN,0.838,Opere di Platone / tradotte da Cesare Dalbono,Plato,,https://opac.sbn.it/bid/MIL0670854,"{""bid"": ""IT\\ICCU\\MIL\\0670854""}",41393,,FL,"E. TUROLLA, CURAT.",I,ITALIANO,,v. ; 23 cm.,,,17,18,,245,
41394,,PLATONE,COPYRIGHT 1949,MILANO,RIZZOLI,OPERE DI PLATONE,OPAC SBN,0.838,Opere di Platone / tradotte da Cesare Dalbono,Plato,,https://opac.sbn.it/bid/MIL0670854,"{""bid"": ""IT\\ICCU\\MIL\\0670854""}",41394,,FL,"E. TUROLLA, CURAT.",I,ITALIANO,,v. ; 23 cm.,,,17,18,,191,
41395,SOCRATE ED ALCUNI DIALOGHI PLATONICI:APOLOGIA-CONVITO-LACHETE-EUTIFR ONE-LISIDE-JONE,PLATONE,COPYRIGHT 1958,TORINO,GIAPPICHELLI,OPERE DI PLATONE,OPAC SBN,0.757,"Socrate ed alcuni dialoghi platonici : Apologia, Convito, Lachete, Eutifrone, Liside, Jone / Gallo Galli","Galli, Gallo",1958,https://opac.sbn.it/bid/SBL0488152,"{""bid"": ""IT\\ICCU\\SBL\\0488152""}",41395,,FL,"GALLO GALLI, CURAT.",I,ITALIANO,,246 p. ; 25 cm.,,,24,18,,250,
41396,,"STEFANINI, LUIGI",COPYRIGHT 1951,TORINO,SEI,CRITICA DI PLATONE,OPAC SBN,0.738,Pedagogia cinematografica / Luigi Stefanini,"Stefanini, Luigi <1934- >",1956,https://opac.sbn.it/bid/PUV1182376,"{""bid"": ""IT\\ICCU\\PUV\\1182376""}",41396,,FL,,I - RIST.,ITALIANO,"Estratto da ""Rassegna di pedagogia"", anno 14., gennaio-aprile 1956, n. 1",pag. 1-5 ; 25 cm,,,20,18,,203,
41397,,ARISTOTELE,COPYRIGHT 1961,TORINO,SEI,I CLASSICI,Open Library,0.835,La Poetica,Aristotle,1479,https://openlibrary.org/works/OL151515W,{},41397,,FL,"C. SORGE, CURAT.",I,eng,,,,,19.5,18,,123,
41398,,ARISTOTELE,COPYRIGHT 1958,TORINO,SEI,I CLASSICI,Open Library,0.835,La Poetica,Aristotle,1479,https://openlibrary.org/works/OL151515W,{},41398,,FL,"A. BECCARI, CURAT.",I,eng,,,,,19.5,18,,184,
41399,,ARISTOTELE,COPYRIGHT 1960,TORINO,SEI,I CLASSICI,Internet Archive,0.880,Aristotele Opere Vol 2,Aristotele,2008,https://archive.org/details/aristoteleoperevol2,"{""identifier"": ""aristoteleoperevol2""}",41399,,FL,"D. COMPOSTA, CURAT.",I,ita,,"I Classici del Pensiero, Arnoldo Mondadori Editore, Milano 2008",,,19.5,18,,142,
41400,,ARISTOTELE,COPYRIGHT 1927,BARI,LATERZA,I CLASSICI,Open Library,0.835,La Poetica,Aristotle,1479,https://openlibrary.org/works/OL151515W,{},41400,,FL,"A. CARLINI, CURAT.",IV,eng,,,,,21,18,,149,
41401,,ARISTOTELE,COPYRIGHT 1967,BARI,LATERZA,I CLASSICI,Open Library,0.835,La Poetica,Aristotle,1479,https://openlibrary.org/works/OL151515W,{},41401,,FL,"C.A.VIANO,CURAT.",III,eng,,,,,18,18,,158,
41402,,ARISTOTELE,COPYRIGHT 1960,BRESCIA,LA SCUOLA,I CLASSICI,Open Library,0.835,La Poetica,Aristotle,1479,https://openlibrary.org/works/OL151515W,{},41402,,FL,"F. AMERIO, CURAT.",I,eng,,,,,21,18,,121,
41403,IL PRINCIPIO DI NON CONTRADDIZIONE LIBRO IV DELLA METAFISICA,ARISTOTELE,COPYRIGHT 1959,BRESCIA,LA SCUOLA,I CLASSICI,OPAC SBN,0.477,Aristotele la politica / Aristotele,Aristoteles,1984,https://opac.sbn.it/bid/RMS1974711,"{""bid"": ""IT\\ICCU\\RMS\\1974711""}",41403,,FL,"E. SEVERINO, CURAT.",I,ITALIANO,,(piccola biblioteca filosofica Laterza),,,21,18,,62,
41404,,"ROTTA, PAOLO",COPYRIGHT 1945,BRESCIA,LA SCUOLA,I CLASSICI,OPAC SBN,0.674,Aristotele / Paolo Rotta,"Rotta, Paolo <1873-1962>",1945,https://opac.sbn.it/bid/FER0119168,"{""bid"": ""IT\\ICCU\\FER\\0119168""}",41404,,FL,,II,ITALIANO,,322 p. ; 16 cm.,,,15.5,18,,323,
41405,,LUCREZIO,COPYRIGHT 1975,MILANO,GARZANTI,EDIZIONE INTEGRALE CON TESTO LATINO A FRONTE,OPAC SBN,0.482,La natura delle cose / Tito Lucrezio Caro ; a cura di Francesco Vizioli ; edizione integrale con testo latino a fronte,"Lucretius Carus, Titus",2010,https://opac.sbn.it/bid/TO01787833,"{""bid"": ""IT\\ICCU\\TO0\\1787833""}",41405,,FL,"O. CESCATTI, TRAD. A.RONCONI, LETTURA CRITICA",I,ITALIANO - LATINO,Test. orig. a fronte.,367 p. ; 22 cm,,,18,18,,527,
41406,,LUCREZIO,COPYRIGHT 1935,BOLOGNA,CAPPELLI ED.,IL LATINO PER TUTTI/TESTO A FRONTE,OPAC SBN,0.408,Dati statistici / Giuseppe Lucrezio Monticelli,"Monticelli, Giuseppe Lucrezio",1986,https://opac.sbn.it/bid/PBE0100647,"{""bid"": ""IT\\ICCU\\PBE\\0100647""}",41406,,FL,"G. BALBONI-E.NERI, CURAT.",I,ITALIANO,Contiene dati statistici sull'emigrazione italiana e estera dal 1972 al 1984,P. 120-132 ; 24 cm,,,18.5,18,,75,
41407,DE RERUM NATURA PAGINE SCELTE,LUCREZIO,COPYRIGHT 1965,ROMA,SIGNORELLI,ANTOLOGIA,OPAC SBN,0.591,De Rerum natura : Pagine scelte a cura di Giovanni Tarditi,"Lucretius Carus, Titus",1956,https://opac.sbn.it/bid/CUB0383063,"{""bid"": ""IT\\ICCU\\CUB\\0383063""}",41407,,FL,"G. TARDITI, CURAT.",I- 5 RIST.,ITALIANO,L. 400.,"16. p. [iv], 103",,,18.5,18,,100,
41408,,LUCREZIO,COPYRIGHT 1952,TORINO,LATTES,ANTOLOGIA,OPAC SBN,0.534,Intelligenza artificiale ed etica / Tito Lucrezio Rizzo,"Rizzo, Tito Lucrezio",,https://opac.sbn.it/bid/RAV2144659,"{""bid"": ""IT\\ICCU\\RAV\\2144659""}",41408,,FL,"L. PERRELLI, CURAT.",IV,ITALIANO,,,,,21,18,,142,
41409,"VITA E MORTE NELL'UNIVERSO ANTOLOGIA DAL ""DE RERUM NATURA""",LUCREZIO,COPYRIGHT 1984,TORINO,PARAVIA,ANTOLOGIA,OPAC SBN,0.657,"Vita e morte nell'universo : antologia dal ""De rerum natura"" / Lucrezio ; a cura di Adelmo Barigazzi ; con un saggio di Mario Luzi","Lucretius Carus, Titus",1974,https://opac.sbn.it/bid/TO00058230,"{""bid"": ""IT\\ICCU\\TO0\\0058230""}",41409,,FL,"A. BARIGAZZI, CURAT. M. LUZI, SAGGIO",I,LATINO - ITALIANO,,"XXIX, 302 p. ; 23 cm.",,,22,18,,302,
