n_scheda,titolo,autore,data_pub,luogo_pub,editore,collezion,ext_source,ext_match_score,ext_title,ext_author,ext_year,ext_url,ext_identifiers,n_scheda_field,cod_isbn,cod_sez,collabor,edizione,ext_language,ext_notes,ext_physical_desc,ext_place,ext_publisher,formato,n_s_sez,note_sp,pagine,soggetto
41203,,GALILEO,COPYRIGHT 1955,TORINO,SEI,I CLASSICI DELLA FILOSOFIA - M.F. SCIACCA,OPAC SBN,0.547,Proiettori elettrici / Officine Galileo,Officine Galileo,,https://opac.sbn.it/bid/UFI0550646,"{""bid"": ""IT\\ICCU\\UFI\\0550646""}",41203,,FL,"M.L. CERVINI,CURAT.",II,ITALIANO,In testa al front. Officine Galileo - Firenze,19 p. : ill. ; 21 cm,,,21,20,,220,
41204,,GALILEO,COPYRIGHT 1963,FIRENZE,LA NUOVA ITALIA,PENSATORI ANTICHI E MODERNI N. 4,OPAC SBN,0.607,Stereosimplex : Mod. IIc / Galileo-Santoni,Officine Galileo,1964,https://opac.sbn.it/bid/UFI0550644,"{""bid"": ""IT\\ICCU\\UFI\\0550644""}",41204,,FL,"A. BANFI, CURAT.",V,ITALIANO,,"28 p., 18 figure : ill. ; 25 cm",,,20,20,,210,
41205,,GALILEO,COPYRIGHT 1940,VERONA,LA SCALIGERA,CLASSICI DI FILOSOFIA E DEDAGOGIA,OPAC SBN,0.547,Proiettori elettrici / Officine Galileo,Officine Galileo,,https://opac.sbn.it/bid/UFI0550646,"{""bid"": ""IT\\ICCU\\UFI\\0550646""}",41205,,FL,"M. DAL PRA, CURAT.",II,ITALIANO,In testa al front. Officine Galileo - Firenze,19 p. : ill. ; 21 cm,,,20,20,,205,
41206,,GALILEO,COPYRIGHT 1930,FIRENZE,VALLECCHI,CLASSICI ITALIANI COMMENTATI,OPAC SBN,0.547,Proiettori elettrici / Officine Galileo,Officine Galileo,,https://opac.sbn.it/bid/UFI0550646,"{""bid"": ""IT\\ICCU\\UFI\\0550646""}",41206,,FL,"A.C. JEMOLO, CURAT.",NV. ED.,ITALIANO,In testa al front. Officine Galileo - Firenze,19 p. : ill. ; 21 cm,,,20,20,,170,
41207,,"DIDEROT, DENIS",COPYRIGHT 1949,MILANO,U.E.,LETTERATURA FRANCESE,OPAC SBN,0.880,La monaca / Denis Diderot,"Diderot, Denis",1956,https://opac.sbn.it/bid/LIA0166435,"{""bid"": ""IT\\ICCU\\LIA\\0166435""}",41207,,LE,"O. DEL BUONO, CURAT.",I,ITALIANO,Trad. di Piero Bianconi,264 p. ; 16 cm,,,17,4,,96,
41208,,VOLTAIRE,COPYRIGHT 1969,VERONA,MONDADORI,FILOSOFIA,OPAC SBN,0.980,"La filosofia della storia (1765) / François-Marie Arouet detto Voltaire ; cura, traduzione, introduzione e note di Roberto Bordoli",Voltaire,2016,https://opac.sbn.it/bid/SGE0040803,"{""bid"": ""IT\\ICCU\\SGE\\0040803""}",41208,,FL,"M. BONFANTINI, CURAT.",III,ITALIANO,Pubblicato originariamente sotto lo pseudonimo di abbé Bazin,315 p. ; 21 cm,,,18,20,,642,
41209,,VOLTAIRE,COPYRIGHT 1949,MILANO,U.E.,FILOSOFIA,OPAC SBN,0.880,Trattato sulla tolleranza / Voltaire ; prefazione di Salvatore Veca ; traduzione e cura di Lorenzo Bianchi,Voltaire,1996,https://opac.sbn.it/bid/IEI0096430,"{""bid"": ""IT\\ICCU\\IEI\\0096430""}",41209,,FL,"PALMIRO TOGLIATTI, CURAT.",I,ITALIANO,,"XXXVI, 163 p. ; 20 cm.",,,17,20,,131,
41210,,"MOUNIER, EMMANUEL",COPYRIGHT 1982,ROMA,A.V.E.,FILOSOFIA CONTEMPORANEA,Open Library,0.880,Ouvres de Mounier Tome I 1931-1939 Tome II Traité du caractère Tome III 1944-1950 Tome IV Recueils posthumes Correspondance,Mounier Emmanuel,1961,https://openlibrary.org/works/OL31228426W,{},41210,,FL,"A. CARDIN, TRAD.",VII,,,,,,18.5,21,,171,
41211,,,COPYRIGHT 1975,ROMA,CITTA' NUOVA,FILOSOFIA CONTEMPORANEA,NOT_FOUND,0.000,,,,,{},41211,,FL,"A.V.- A. RIGOBELLO, CURAT.",I,,,,,,18.5,21,,321,
41212,,"MOUNIER, EMMANUEL",COPYRIGHT 1975,TORINO,EINAUDI,FILOSOFIA CONTEMPORANEA,Open Library,0.880,Ouvres de Mounier Tome I 1931-1939 Tome II Traité du caractère Tome III 1944-1950 Tome IV Recueils posthumes Correspondance,Mounier Emmanuel,1961,https://openlibrary.org/works/OL31228426W,{},41212,,FL,"G. MOTTURA, TRAD.",I,,,,,,19,21,,117,
41213,,"MOUNIER, EMMANUEL",COPYRIGHT 1982,REGGIO EMILIA,CITTA' ARMONIOSA,FILOSOFIA CONTEMPORANEA,Open Library,0.880,Ouvres de Mounier Tome I 1931-1939 Tome II Traité du caractère Tome III 1944-1950 Tome IV Recueils posthumes Correspondance,Mounier Emmanuel,1961,https://openlibrary.org/works/OL31228426W,{},41213,,FL,"F. MAZZIARIOL, TRAD.",I,,,,,,21,21,,526,
41214,,"ROSMINI, ANTONIO",COPYRIGHT 1983,ROMA,CITTA' NUOVA,FILOSOFIA CONTEMPORANEA,Open Library,0.880,The Constitution Under Social Justice (Studies in Ethics and Economics),Rosmini Antonio,2006,https://openlibrary.org/works/OL8423031W,{},41214,,FL,"UMBERTO MURATORE, CURAT.",I,eng,,,,,24,21,,498,
