n_scheda,titolo,autore,data_pub,luogo_pub,editore,collezion,ext_source,ext_match_score,ext_title,ext_author,ext_year,ext_url,ext_identifiers,cod_isbn,cod_sez,collabor,data_crea,edizione,ext_language,ext_notes,ext_physical_desc,ext_place,ext_publisher,formato,illustr,n_s_sez,noName,note_sp,pagine,segnatura,soggetto,volume
41125,,"DE RUGGIERO, GUIDO",COPYRIGHT 1946,BARI,LATERZA,FILOSOFIA,Open Library,0.730,Sommario di storia della filosofia,Guido De Ruggiero,1945,https://openlibrary.org/works/OL10512416W,{},,FL,,2003-01-04 00:00:00,IX,ita,,,,,21,,16,109 R3,,379,SR,,2025-01-01 00:00:00
41126,,"RUSSELL, BERTRAND",COPYRIGHT 1966,MILANO,LONGANESI,FILOSOFIA,Open Library,0.605,Storia della filosofia occidentale ...,Bertrand Russell,1966,https://openlibrary.org/works/OL16334556W,{},,FL,"L. PAVOLINI, TRAD.",2003-01-04 00:00:00,I,ita,,,,,18,,16,109 R4,,248,SR,,2025-04-01 00:00:00
41127,,"RUSSELL, BERTRAND",COPYRIGHT 1966,MILANO,LONGANESI,FILOSOFIA,Open Library,0.605,Storia della filosofia occidentale ...,Bertrand Russell,1966,https://openlibrary.org/works/OL16334556W,{},,FL,"L. PAVOLINI, TRAD.",2003-01-04 00:00:00,I,ita,,,,,18,,16,109 R5,,248-633,SR,,2025-04-02 00:00:00
41128,,"RUSSELL, BERTRAND",COPYRIGHT 1966,MILANO,LONGANESI,FILOSOFIA,Open Library,0.605,Storia della filosofia occidentale ...,Bertrand Russell,1966,https://openlibrary.org/works/OL16334556W,{},,FL,"L. PAVOLINI, TRAD.",2003-01-04 00:00:00,I,ita,,,,,18,,16,109 R6,,633-880,SR,,2025-04-03 00:00:00
41129,,"RUSSELL, BERTRAND",COPYRIGHT 1966,MILANO,LONGANESI,FILOSOFIA,Open Library,0.605,Storia della filosofia occidentale ...,Bertrand Russell,1966,https://openlibrary.org/works/OL16334556W,{},,FL,"L. PAVOLINI, TRAD.",2003-01-04 00:00:00,I,ita,,,,,18,,16,109 R7,,880-1183,SR,,2025-04-04 00:00:00
41130,,"RUSSELL, BERTRAND",COPYRIGHT 1980,MILANO,LONGANESI,FILOSOFIA,Open Library,0.555,Storia della filosofia occidentale ...,Bertrand Russell,1966,https://openlibrary.org/works/OL16334556W,{},,FL,"L. PAVOLINI, TRAD.",2003-01-04 00:00:00,I,ita,,,,,20,,8,160 R,,219,SR,,2025-01-01 00:00:00
41131,,"SEMAMA, PAOLO",COPYRIGHT 1973,BOLOGNA,ZANICHELLI,FILOSOFIA,Open Library,0.505,Argomentazione e persuasione,Paolo Semama,1974,https://openlibrary.org/works/OL4529725W,{},,FL,,2003-01-04 00:00:00,I,ita,,,,,24,,16,109 S,,404,SR,,2025-01-01 00:00:00
41132,,"STEFANINI, LUIGI",COPYRIGHT 1960,T6ORINO,SEI,FILOSOFIA,Open Library,0.880,Il preimaginismo dei greci,"Stefanini, Luigi",1953,https://openlibrary.org/works/OL1265789W,{},,FL,,2003-01-04 00:00:00,I,ita,,,,,19.5,,16,109 S1,,470,SR,,2025-01-01 00:00:00
41133,,"VIOTTO, PIERO",COPYRIGHT 1959,TORINO,MARIETTI,FILOSOFIA,Open Library,0.555,Per una filosofia dell'educazione,Piero Viotto,1981,https://openlibrary.org/works/OL5173691W,{},,FL,,2003-01-04 00:00:00,I,ita,,,,,17,,16,109 V,,361,SR,,2025-03-01 00:00:00
41134,,"VIOTTO, PIERO",COPYRIGHT 1960,TORINO,MARIETTI,FILOSOFIA,Open Library,0.555,Per una filosofia dell'educazione,Piero Viotto,1981,https://openlibrary.org/works/OL5173691W,{},,FL,,2003-01-04 00:00:00,I,ita,,,,,17,,16,109 V1,,285,SR,,2025-03-02 00:00:00
41135,,"VIOTTO, PIERO",COPYRIGHT 1965,TORINO,MARIETTI,FILOSOFIA,Open Library,0.555,Per una filosofia dell'educazione,Piero Viotto,1981,https://openlibrary.org/works/OL5173691W,{},,FL,,2003-01-04 00:00:00,II,ita,,,,,17,,16,109 V2,,283,SR,,2025-03-03 00:00:00
41136,,"WINDELBAND, WILHELM",COPYRIGHT 1958,FIRENZE,SANDRON,FILOSOFIA,Open Library,0.697,Filosofia e filosofia della religione,W. Windelband,1982,https://openlibrary.org/works/OL37372083W,{},,FL,"DENTICE D'ACCADIA, TRAD.",2003-01-04 00:00:00,I,ita,,,,,24,,16,109 W,,402,SR,,2025-02-01 00:00:00
41137,,"WINDELBAND, WILHELM",COPYRIGHT 1958,FIRENZE,SANDRON,FILOSOFIA,Open Library,0.697,Filosofia e filosofia della religione,W. Windelband,1982,https://openlibrary.org/works/OL37372083W,{},,FL,"DENTICE D'ACCADIA, TRAD.",2003-01-04 00:00:00,I,ita,,,,,24,,16,109 W1,,524,SR,,2025-02-02 00:00:00
41138,,"OLGIATI, FRANCESCO",COPYRIGHT 1965,MILANO,VITA E PENSIERO,FILOSOFIA,Open Library,0.580,Studi di filosofia e di storia della filosofia in onore di Francesco Olgiati,Francesco Olgiati,1962,https://openlibrary.org/works/OL22444995W,{},,FL,,2003-01-04 00:00:00,II-RIST.,ita,,,,,24,,23,110 O,,315,SR,,2025-01-01 00:00:00
41139,"STUDIO ED INSEGNAMENTO DELLA FILOSOFIA I PROBLEMI DELLA FILOSOFIA , F.RIVETTI BARBO',M.SANCIPRIANO,A.VALERIANI,S.VANNI-ROVIGHI,G.VATTI",,COPYRIGHT 1966,ROMA,AVE-UCIM,FILOSOFIA,NOT_FOUND,0.000,,,,,{},,FL,"E.AGAZZI,G.GIANNINI,J.B. LOTZ,G.MORRA,L.PAREYSON,P.PRINI,A.RIGOBELLO",2003-01-04 00:00:00,I,,,,,,24,,23,107 AV,,394,SR,,2025-02-01 00:00:00
