n_scheda,titolo,autore,data_pub,luogo_pub,editore,collezion,ext_source,ext_match_score,ext_title,ext_author,ext_year,ext_url,ext_identifiers,cod_isbn,cod_sez,collabor,data_crea,edizione,ext_language,ext_notes,ext_physical_desc,ext_place,ext_publisher,formato,illustr,n_s_sez,noName,note_sp,pagine,segnatura,soggetto,volume
41140,"STUDIO ED INSEGNAMENTO DELLA FILOSOFIA FILOSOFIE CONTEMPORANEE E PROBLEMI DI DIDATTICA - GERONE, P. VALORI.",,COPYRIGHT 1966,ROMA,AVE-UCIM,FILOSOFIA,NOT_FOUND,0.000,,,,,{},,FL,"F. COPLESTON, V.FAGONE,I.MANCINI,G. MORRA, P.PRINI,A.RIGOBELLO,G.ROG",2003-01-04 00:00:00,I,,,,,,24,,23,107 AV1,,317,SR,,2025-02-02 00:00:00
41141,,"PUGLISI, FILIPPO",COPYRIGHT 1953,PADOVA,CEDAM,FILOSOFIA,Open Library,0.427,Pirandello e la sua lingua,Filippo Puglisi,1962,https://openlibrary.org/works/OL2824913W,{},,FL,,2003-01-04 00:00:00,I,ita,,,,,25,,23,109.7 P,,191,SR,,2025-01-01 00:00:00
41142,,"PETRUZZELLIS, NICOLA",COPYRIGHT 1953,MILANO,MARZORATI,CRITICA FILOSOFICA,Open Library,0.567,Scritti in onore di Nicola Petruzzellis,Nicola Petruzzellis,1981,https://openlibrary.org/works/OL22700152W,{},,FL,,2003-01-04 00:00:00,I,ita,,,,,25,,23,109.7 P1,,178,SR,,2025-01-01 00:00:00
41143,,"DI NAPOLI, GIOVANNI",COPYRIGHT 1953,BRESCIA,LA SCUOLA,CRITICA FILOSOFICA,Open Library,0.880,Salute Dei Tempi in Letargo,Di Napoli Giovanni,2018,https://openlibrary.org/works/OL34174768W,{},,FL,,2003-01-04 00:00:00,I,ita,,,,,25,,23,109.7 N,,261,SR,,2025-01-01 00:00:00
41144,,"DI NAPOLI, GIOVANNI",COPYRIGHT 1969,ROMA,TIP. FERRI,CRITICA FILOSOFICA,Open Library,0.880,Salute Dei Tempi in Letargo,Di Napoli Giovanni,2018,https://openlibrary.org/works/OL34174768W,{},,FL,,2003-01-04 00:00:00,I,ita,,,,,25,,23,109.7 N1,,221,SR,,2025-01-01 00:00:00
41145,,"PRETI, GIULIO",COPYRIGHT 1966,MILANO,FELTRINELLI,ENCICLOPEDIA FILOSOFICA,Open Library,0.786,Prosthetic rehabilitation,"Preti, Giulio MD",2008,https://openlibrary.org/works/OL32974610W,{},,FL,,2003-01-04 00:00:00,I,eng,,,,,18,,1,103 P,,496,SR,,2025-01-01 00:00:00
41146,,"DALL'ASTA, GIUSEPPE",COPYRIGHT 1974,MESSINA,D'ANNA,CLASSICI DELLA FILOSOFIA CON INQUADRAMENTO STORICO,Open Library,0.480,Questioni critiche di storia contemporanea,Giuseppe Dall'Asta,1975,https://openlibrary.org/works/OL2215897W,{},,FL,,2003-01-04 00:00:00,I,ita,,,,,21,,23,109.7 A1,,378,SR,,2025-01-01 00:00:00
41147,,ABBATE MICHELE,COPYRIGHT 1973,TORINO,EINAUDI,CRITICA FILOSOFICA,Open Library,0.455,La filosofia di Benedetto Croce e la crisi della società italiana,Michele Abbate,1955,https://openlibrary.org/works/OL6930762W,{},,FL,,2003-01-04 00:00:00,III,ita,,,,,18,,23,109.7 A2,,274,SR,,2025-01-01 00:00:00
41148,,,COPYRIGHT 1954,TORINO,E.R.I.,CRITICA FILOSOFICA,NOT_FOUND,0.000,,,,,{},,FL,A.V.,2003-01-04 00:00:00,I,,,,,,21,,23,109.7 AV,,149,SR,,2025-01-01 00:00:00
41149,,"CROCE, BENEDETTO",COPYRIGHT 1973,BARI,LATERZA,CRITICA FILOSOFICA,Open Library,0.335,Viatico viennese,Ricardo De Mambro Santos,1998,https://openlibrary.org/works/OL12033760W,{},,FL,,2003-01-04 00:00:00,III,ita,,,,,18,,23,109.7 C,,321,SR,,2025-01-01 00:00:00
41150,,"MARTINETTI, PIERO",COPYRIGHT 1968,MILANO,FELTRINELLI,CRITICA FILOSOFICA,Open Library,0.561,Hegel,Piero Martinetti,1943,https://openlibrary.org/works/OL1441566W,{},,FL,,2003-01-04 00:00:00,N. ED.,ita,,,,,19.5,,23,109.7 M,,309,SR,,2025-01-01 00:00:00
41151,,"MASSOLO, ARTURO",COPYRIGHT 1973,FIRENZE,VALLECCHI,CRITICA FILOSOFICA,Open Library,0.505,La storia della filosofia come problema e altri saggi,Arturo Massolo,1973,https://openlibrary.org/works/OL2056117W,{},,FL,,2003-01-04 00:00:00,I,ita,,,,,18,,23,109.7 M1,,286,SR,,2025-01-01 00:00:00
41152,,"OLGIATI, FRANCESCO",COPYRIGHT 1953,MILANO,VITA E PENSIERO,CRITICA FILOSOFICA,Open Library,0.480,Monsignor Francesco Olgiati nel I centenario della nascita (1886-1986),Francesco Olgiati,1986,https://openlibrary.org/works/OL37430297W,{},,FL,,2003-01-04 00:00:00,I,ita,,,,,20,,23,109.7 O,,397,SR,,2025-01-01 00:00:00
41153,,"RENSI, GIUSEPPE",COPYRIGHT 1939,MILANO,BOCCA,CRITICA FILOSOFICA,Open Library,0.516,Giuseppe Rensi,Giuseppe Rensi,2001,https://openlibrary.org/works/OL3115956W,{},,FL,,2003-01-04 00:00:00,I,ita,,,,,21,,23,109.7 R,,192,SR,,2025-01-01 00:00:00
41154,,"ROSSI, PIETRO, ED.",COPYRIGHT 1972,TORINO,LOESCHER,CRITICA FILOSOFICA,Open Library,0.471,The characteristics of Sienese art,Pietro Rossi,1913,https://openlibrary.org/works/OL11740523W,{},,FL,,2003-01-04 00:00:00,I,eng,,,,,19,,23,109.7 R1,,213,SR,,2025-01-01 00:00:00
41155,,"WINSNES, A.H.",COPYRIGHT 1960,TORINO,SEI,CRITICA FILOSOFICA,Open Library,0.880,Spor etter mennesket,"Winsnes, A. H.",1989,https://openlibrary.org/works/OL19037833W,{},,FL,A.MOTZFELDT,2003-01-04 00:00:00,I,nor,,,,,22,,23,109.7 W,,251,SR,,2025-01-01 00:00:00
41156,,"VANNI ROVIGHI, SOFIA",COPYRIGHT 1986,MILANO,VITA E PENSIERO,FILOSOFIA E DIO,Open Library,0.662,La filosofia e il problema di Dio,Sofia Vanni Rovighi,1986,https://openlibrary.org/works/OL1281328W,{},,FL,,2003-01-04 00:00:00,I,ita,,,,,21,,23,110 R,,170,SR,,2025-01-01 00:00:00
41157,,"MONDIN, BATTISTA",COPYRIGHT 1989,MILANO,MASSIMO,"PROBLEMI,SISTEMI,FILOSOFI",Open Library,0.780,La filosofia dell'essere di S. Tommaso D'Aquino,"Mondin, Battista S.X.",1964,https://openlibrary.org/works/OL11733918W,{},,FL,,2003-01-04 00:00:00,IV -2 RIST.,ita,,,,,23.5,,16,101 M,,454,SR,,2025-01-01 00:00:00
41158,,,COPYRIGHT 1988,TORINO,RIVISTA DI ESTETICA,ESTETICA,NOT_FOUND,0.000,,,,,{},,FL,A.V.,2003-01-04 00:00:00,I,,,,,,23.5,,14,111.8 AV,RIVISTA N. 26-27 ANNO XXVII,243,SR,,2025-01-01 00:00:00
41159,,"DE CRESCENZO, GIOVANNI",COPYRIGHT 1958,NAPOLI,E.S.I.,ESTETICA,Open Library,0.516,Francis Hutcheson e il suo tempo,Giovanni De Crescenzo,1968,https://openlibrary.org/works/OL4712537W,{},,FL,,2003-01-04 00:00:00,I,ita,,,,,26,,14,111.8 C,,179,SR,,2025-01-01 00:00:00
41160,,"ZONTA, GIUSEPPE",COPYRIGHT 1938,TORINO,PARAVIA,ESTETICA,Open Library,0.930,Vita sociale,"Zonta, Giuseppe",1937,https://openlibrary.org/works/OL2293999W,{},,FL,,2003-01-04 00:00:00,I,ita,,,,,20,,14,111.8 Z,,120,SR,,2025-01-01 00:00:00
41161,,"PLANCK, MAX",1943,TORINO,EINAUDI,FILOSOFIA E SCIENZA,Open Library,0.880,The Universe In The Light Of Modern Physics,"Planck,Max.",1931,https://openlibrary.org/works/OL43385770W,{},,FL,"E. PERSICO, TRAD.",2003-01-04 00:00:00,III,eng,,,,,22,,8,114 P,,295,SR,,2025-01-01 00:00:00
41162,LEZIONI DI FILOSOFIA I.LOGICA,"CALOGERO, GUIDO",COPYRIGHT 1960,TORINO,EINAUDI,FILOSOFIA,Open Library,0.596,Introduzione alla filosofia [per] Guido Calogero e Guido De Ruggiero,Guido Calogero,1953,https://openlibrary.org/works/OL35497646W,{},,FL,,2003-01-04 00:00:00,II. 1 RIST.,ita,,,,,21.5,,8,120 C,,278,SR,,2025-03-01 00:00:00
41163,LEZIONI DI FILOSOFIA II.ETICA,"CALOGERO, GUIDO",COPYRIGHT 1960,TORINO,EINAUDI,FILOSOFIA,Open Library,0.566,Introduzione alla filosofia [per] Guido Calogero e Guido De Ruggiero,Guido Calogero,1953,https://openlibrary.org/works/OL35497646W,{},,FL,,2003-01-04 00:00:00,II. 1 RIST.,ita,,,,,21.5,,8,120 C1,,366,SR,,2025-03-02 00:00:00
41164,LEZIONI DI FILOSOFIA III. ESTETICA,"CALOGERO, GUIDO",COPYRIGHT 1960,TORINO,EINAUDI,FILOSOFIA,Open Library,0.568,Introduzione alla filosofia [per] Guido Calogero e Guido De Ruggiero,Guido Calogero,1953,https://openlibrary.org/works/OL35497646W,{},,FL,,2003-01-04 00:00:00,II. 1 RIST.,ita,,,,,21.5,,8,120 C2,,392,SR,,2025-03-03 00:00:00
41165,,"FABRO, CORNELIO",COPYRIGHT 1955,ROMA,STUDIUM,FILOSOFIA ANTROPOLOGICA,Open Library,0.516,Cornelio Fabro,Cornelio Fabro,2001,https://openlibrary.org/works/OL42211870W,{},,FL,,2003-01-04 00:00:00,I,fre,,,,,19,,9,128 F,,348,SR,,2025-01-01 00:00:00
41166,,,COPYRIGHT 1971,ROMA,ED. DL ATENEO,SOCIETA' FILOSOFICA ITALIANA / ATTI DEL XXII CONGR,NOT_FOUND,0.000,,,,,{},,FL,A.V.,2003-01-04 00:00:00,I,,,,,,25,,9,109.7 AV1,SOFIA /PADOVA 24-27 APRILE 1969,374,SR,,2025-01-01 00:00:00
41167,,"BOZZANO, ERNESTO",1941,VERONA,L'ALBERO,STUDI METAPSICHICI,Open Library,0.427,Animismo e spiritismo?,Ernesto Bozzano,1967,https://openlibrary.org/works/OL5524509W,{},,R,,2003-01-07 00:00:00,I,ita,,,,,21,,5,133 B,,346,SR,,2025-01-01 00:00:00
41168,,"BOZZANO, ERNESTO",1953,MILANO,FR. BOCCA,STUDI METAPSICHICI,Open Library,0.477,"I morti ritornano, per la soluzione del dibattito sui casi d'identificazione spiritica",Ernesto Bozzano,1953,https://openlibrary.org/works/OL42988965W,{},,R,,2003-01-07 00:00:00,II,ita,,,,,21,,5,133 B1,,410,SR,,2025-02-02 00:00:00
41169,,"CARPI, PIER",COPYRIGHT 1976,ROMA,MEDITERRANEE,STUDI METAPSICHICI,Open Library,0.880,Les prophéties du pape jean XXII,Carpi Pier,1978,https://openlibrary.org/works/OL33926675W,{},,R,,2003-01-07 00:00:00,I,,,,,,20,,5,133 C,,169,SR,,2025-01-01 00:00:00
41170,,NOSTRADAMUS,COPYRIGHT 1993,TORINO,PIEMONTE IN BANCARELLA,STUDI METAPSICHICI,Open Library,0.880,The Complete Prophecies of Nostradamus,Nostradamus,2013,https://openlibrary.org/works/OL20366663W,{},,R,"RENUCCIO BOSCOLO, CURAT.",2003-01-07 00:00:00,I,eng,,,,,21,,5,133 B2,,204,SR,,2025-01-01 00:00:00
41171,,NOSTRADAMUS,COPYRIGHT 1976,TORINO,MEB,COLLANA MONDI SCONOSCIUTI N. 29,Open Library,0.880,The Complete Prophecies of Nostradamus,Nostradamus,2013,https://openlibrary.org/works/OL20366663W,{},,R,"RENUCCIO BOSCOLO, CURAT.",2003-01-07 00:00:00,II,eng,,,,,21,,5,133 B3,,153,SR,,2025-01-01 00:00:00
41172,,NOSTRADAMUS,COPYRIGHT 1972,TORINO,MEB,COLLANA MONDI SCONOSCIUTI N. 4,Open Library,0.880,The Complete Prophecies of Nostradamus,Nostradamus,2013,https://openlibrary.org/works/OL20366663W,{},,R,"RENUCCIO BOSCOLO, CURAT.",2003-01-07 00:00:00,II,eng,,,,,22,,5,133 B4,,254,SR,,2025-01-01 00:00:00
41173,,NOSTRADAMUS,COPYRIGHT 1979,MILANO,DE VECCHI,COLLANA MONDI SCONOSCIUTI,Open Library,0.880,The Complete Prophecies of Nostradamus,Nostradamus,2013,https://openlibrary.org/works/OL20366663W,{},,R,"FIORELLA DOMENIGHINI, CURAT.",2003-01-07 00:00:00,I,eng,,,,,21,,5,133 D,,175,SR,,2025-01-01 00:00:00
41174,,NOSTRADAMUS,COPYRIGHT 1997,ROMA,NEWTON,COLLANA MONDI SCONOSCIUTI,Open Library,0.880,The Complete Prophecies of Nostradamus,Nostradamus,2013,https://openlibrary.org/works/OL20366663W,{},,R,PAOLO CORTESI,2003-01-07 00:00:00,II,eng,,,,,20,,5,133 N,,100,SR,,2025-01-01 00:00:00
41175,,NOSTRADAMUS,COPYRIGHT 1982,ROMA,MEDITERRANEE,COLLANA MONDI SCONOSCIUTI,Open Library,0.880,The Complete Prophecies of Nostradamus,Nostradamus,2013,https://openlibrary.org/works/OL20366663W,{},,R,"CARLO PATRIAN, CURAT.",2003-01-07 00:00:00,VIII,eng,,,,,24,TAVOLE,5,133 N1,,359,SR,,2025-01-01 00:00:00
41176,,"CAVENDISH, RICHARD",COPYRIGHT 1984,ROMA,EUROCLUB,COLLANA MONDI SCONOSCIUTI,Open Library,0.440,Far From the Madding Crowd,Thomas Hardy,1874,https://openlibrary.org/works/OL44995W,{},,R,"S. FUSCO, TRAD.",2003-01-07 00:00:00,I,swe,,,,,21.5,,5,133 C1,,232,SR,,2025-01-01 00:00:00
41177,,"CAVENDISH, RICHARD",COPYRIGHT 1984,ROMA,EUROCLUB,COLLANA MONDI SCONOSCIUTI,Open Library,0.440,Far From the Madding Crowd,Thomas Hardy,1874,https://openlibrary.org/works/OL44995W,{},,R,"S. FUSCO, TRAD.",2003-01-07 00:00:00,I,swe,,,,,21.5,,5,133 C2,,220,SR,,2025-02-02 00:00:00
41178,IL RITORNO DELL'ANTICRISTO SULLE TRACCE DEL MESSIA MALVAGIO,"CENTINI, MASSIMO",COPYRIGHT 1996,CASALE MONF.,PIEMME,COLLANA MONDO FUTURO,Open Library,0.439,I grandi delitti italiani risolti o irrisolti,Massimo Centini,2005,https://openlibrary.org/works/OL24026426W,{},,R,,2003-01-07 00:00:00,I,ita,,,,,22,,5,133 C3,,320,SR,,2025-01-01 00:00:00
41179,,"DE FELITTA, FRANK",COPYRIGHT 1976,MILANO,CLUB D. EDITORI,"ROMANZO SUL ""PARANORMALE""",Open Library,0.611,Audrey Rose,Frank De Felitta,1975,https://openlibrary.org/works/OL5356047W,{},,R,M. GIARDINI OZZOLA,2003-01-07 00:00:00,I,eng,,,,,21,,5,813.9 F6,,360,SR,,2025-01-01 00:00:00
41180,,"KERNER, JUSTINUS",COPYRIGHT 1972,ROMA,ED. D. GATTOPARDO,I VERDE DELLA MAGIA N. 12,Open Library,0.313,Justinus Kerner,Justinus Andreas Christian Kerner,1986,https://openlibrary.org/works/OL18294163W,{},,R,"B. ROMAGNOLI GIGLIOTTI, TRAD.",2003-01-07 00:00:00,I,ger,,,,,21,,5,133.4 K,,301,SR,,2025-01-01 00:00:00
41181,,"SELIGMANN, KURT",COPYRIGHT 1972,FIRENZE,CASINI ED.,I VERDE DELLA MAGIA N. 12,Open Library,0.930,Kurt Seligmann; his graphic work,"Seligmann, Kurt",1973,https://openlibrary.org/works/OL3241263W,{},,R,"G. IANNUZZI, TRAD.",2003-01-07 00:00:00,I,eng,,,,,24,ILL. TAVOLE,5,133 S,,491,SR,,2025-01-01 00:00:00
41182,,"NARDINI, BRUNO",COPYRIGHT 1976,FIRENZE,CENTRO INTERNAZ. D. LIBRO,METAPSICHICA,Open Library,0.538,Michelangelo,Bruno Nardini,1977,https://openlibrary.org/works/OL4496606W,{},,R,,2003-01-07 00:00:00,I,ita,,,,,24,TAVOLE,5,133 N2,,380,SR,,2025-01-01 00:00:00
41183,,"PAVESE, ARMANDO",COPYRIGHT 1995,CASALE MONF.,PIEMME,METAPSICHICA,Open Library,0.455,Sai Baba,Armando Pavese,1992,https://openlibrary.org/works/OL4032430W,{},,R,,2003-01-07 00:00:00,II,ita,,,,,24,TAVOLE,5,133 P,,261,SR,,2025-01-01 00:00:00
41184,,"DI SIMONE, GIORGIO",COPYRIGHT 1987,GARDOLO DI TRENTO,REVERDITO,METAPSICHICA,Open Library,0.880,Immagine e architettura dell'ambiente,"Di Simone, Giorgio.",1980,https://openlibrary.org/works/OL6101467W,{},,R,,2003-01-07 00:00:00,I,ita,,,,,21.5,TAVOLE,5,133 S1,,179,SR,,2025-01-01 00:00:00
41185,,"TALAMONTI, LEO",COPYRIGHT 1976,MILANO,CLUB D. LETTORI,METAPSICHICA,Open Library,0.668,Forbidden Universe,Leo Talamonti,1975,https://openlibrary.org/works/OL29408244W,{},,R,,2003-01-07 00:00:00,I,,,,,,24,"TAVOLE, FOTO",5,133 T,,467,SR,,2025-01-01 00:00:00
41186,,"CARINGTON, WHATELY",COPYRIGHT 1972,ROMA,ASTROLABIO,METAPSICHICA,Open Library,0.880,The foundations of spiritualism,"Carington, Whately",1920,https://openlibrary.org/works/OL6598854W,{},,R,"D.O. CAPRIN, TRAD.",2003-01-07 00:00:00,I,eng,,,,,22,,5,133.8 C,,223,SR,,2025-01-01 00:00:00
41187,,"ROGIER, ALBERTO",COPYRIGHT 1970,ROMA,DELL'ARCO,METAPSICHICA,Open Library,0.455,I pionieri di Ancober,Alberto Rogier,1966,https://openlibrary.org/works/OL11754874W,{},,R,,2003-01-07 00:00:00,I,ita,,,,,22,"ILL., TAVOLE",5,133.8 R,,142,SR,,2025-01-01 00:00:00
41188,,,1941,ALBA,S. PAOLO,METAPSICHICA,NOT_FOUND,0.000,,,,,{},,R,DI FRATE FUOCO,2003-01-07 00:00:00,II,,,,,,19,,5,133.9 F,,467,SR,,2025-01-01 00:00:00
41189,,,1947,ROMA,ED. MEDITERRANEE,METAPSICHICA,NOT_FOUND,0.000,,,,,{},,R,DI G.H. ESTABROOKS,2003-01-07 00:00:00,I,,,,,,21,,5,133.9 E,,224,SR,,2025-01-01 00:00:00
41190,,"FOIX, PIERRE",COPYRIGHT 1975,TORINO,GRIBAUDI,METAPSICHICA,Open Library,0.880,La graphologie,Foix Pierre,1978,https://openlibrary.org/works/OL33844930W,{},,PS,,2003-01-07 00:00:00,I,,,,,,19,,13,137 F,,158,SR,,2025-01-01 00:00:00
41191,,"MORETTI, GIROLAMO",COPYRIGHT 1964,PADOVA,MESSAGGERO,METAPSICHICA,Open Library,0.505,The saints through their handwriting,Girolamo Moretti,1964,https://openlibrary.org/works/OL6364329W,{},,PS,,2003-01-07 00:00:00,I,eng,,,,,25,TAVOLA,13,137 M,,659,SR,,2025-01-01 00:00:00
41192,,"MORETTI, GIROLAMO",COPYRIGHT 1952,PADOVA,MESSAGGERO,METAPSICHICA,Open Library,0.505,I santi dalla scrittura,Girolamo Moretti,1952,https://openlibrary.org/works/OL44338701W,{},,PS,,2003-01-07 00:00:00,I,ita,,,,,21,,13,137 M1,,409,SR,,2025-01-01 00:00:00
41193,,"CAMPANELLA, TOMMASO",COPYRIGHT 1968,TORINO,U.T.E.T.,FILOSOFIA,Open Library,0.602,Compendio di filosofia della natura,Tommaso Campanella,1999,https://openlibrary.org/works/OL15207169W,{},,FL,"L. FIRPO, CURAT.",2003-01-07 00:00:00,I,lat,,,,,24,"TAVOLE , ILL.",20,140.5 C,,195,SR,,2025-01-01 00:00:00
41194,,"CAMPANELLA, TOMMASO",COPYRIGHT 1953,TORINO,SEI,I CLASSICI DELLA FILOSOFIA,Open Library,0.502,La città del sole,Tommaso Campanella,1836,https://openlibrary.org/works/OL752625W,{},,FL,"A. ROMANO,TRAD.",2003-01-07 00:00:00,I,fre,,,,,21,,20,140.5 C1,COLL. DIRETTA DA M.F. SCIACCA,"XV,98",SR,,2025-01-01 00:00:00
41195,,,COPYRIGHT 1958,TORINO,LOESCHER,I CLASSICI DELLA FILOSOFIA,NOT_FOUND,0.000,,,,,{},,FL,"MORO, CAMPANELLA, BACONE",2003-01-07 00:00:00,I,,,,,,21,,20,140.5 B,COLL. DIRETTA DA F. LOMBARDI,182,SR,,2025-01-01 00:00:00
41196,,"ERASMO, DA ROTTERDAM",COPYRIGHT 1957,TORINO,U.T.E.T.,I GRANDI SCRITTORI STRANIERI,Open Library,0.402,Il lamento della giustizia,Piero Pajardi,1989,https://openlibrary.org/works/OL2374823W,{},,FL,"C. BASEGGIO, CURAT.",2003-01-07 00:00:00,I,ita,,,,,I9,"ILL., TAVOLE",20,140.5 E,,221,SR,,2025-01-01 00:00:00
41197,,"ERASMO, DA ROTTERDAM",COPYRIGHT 1967,MILANO,CURCIO,I CLASSICI ILLUSTRATI N.4,Open Library,0.402,Il lamento della giustizia,Piero Pajardi,1989,https://openlibrary.org/works/OL2374823W,{},,FL,G.ZAPPACOSTA,2003-01-07 00:00:00,I,ita,,,,,24,TESTO LATINO A FRONTE,5,140.5 E1,,241,SR,,2025-01-01 00:00:00
41198,,"ERASMO, DA ROTTERDAM",COPYRIGHT 1967,TORINO,U.T.E.T.,STRENNA UTET 1968,Open Library,0.402,Il lamento della giustizia,Piero Pajardi,1989,https://openlibrary.org/works/OL2374823W,{},,FL,"L. FIRPO, CURAT.",2003-01-07 00:00:00,I,ita,,,,,24,ILL. TAVOLE,5,140.5 E2,,208,SR,,2025-01-01 00:00:00
